protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000245817,0,0,0,0,0.001012658,0.009345794,0,0.010830325,0,0,0.005076142,0,0.008695652,0.000667429,0.000861252,0.001881215,0.007619048,0.011535402,0.019550342,0.000806752,0.005347594,0.00093081,0.005201184,0.008077043,0.016296967,0.048482102,0.04057971,0.078488372,0.040216086,0.035087719,0.016666667,0.006122413,0.008018328,0.007378259,0.00589722,0.004149378,0,0.000975091,0.005340454,0.001775148,1,0.002850747,0.84576336,3.43E-05,6.01E-05,3.30E-05,1.41E-05,1,1,1,0,0,0,0
9606.ENSP00000445122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000297142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000389060,0,0,0,0,0.000506329,0,0,0,0,0,0,0,0,0.000857348,0.001291878,0.00053749,0.004444444,0.003977725,0.001955034,0.000558521,0.000763942,0,0,0.000621311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000968654,0.22698144,3.31E-06,2.32E-05,9.06E-06,2.64E-06,1,1,1,0,0,0,0
9606.ENSP00000255858,0,0,0,0,0.006582278,0.009345794,0.077922078,0.003610108,0,0,0,0,0,0.008994914,0.011756093,0.013840365,0.011024531,0.009944312,0.004887586,0.024574904,0.018334607,0.009308098,0.013971508,0.004349177,0.003168855,0.000906208,0.001449275,0,0.005402161,0.005847953,0.022222222,0,0,0,0,0,0,0,0,0,1,0.011213673,0.24518457,8.62E-05,9.95E-05,6.55E-05,3.30E-05,1,1,1,0,0,0,0
9606.ENSP00000393776,0,0,0,0,0.022278481,0.018691589,0.051948052,0,0,0,0.030456853,0,0,0.03835997,0.040608044,0.054488041,0.036075036,0.042163882,0.060606061,0.033821522,0.0473644,0.071672355,0.002531954,0.00341721,0.006790403,0.000906208,0,0,0,0,0,0.027700831,0.03054601,0.035415642,0.047458579,0.056016598,0.04245283,0.018349437,0.018691589,0.021301775,1,0.042641303,0.880935066,3.70E-05,0.000357266,0.000166906,6.29E-05,1,1,1,0,0,0,0
9606.ENSP00000205061,0,0,0,0,0.010126582,0.009345794,0.181818182,0.003610108,0,0,0,0,0,0.012780628,0.015545603,0.014982532,0.011370851,0.015115354,0.038123167,0.026064292,0.017570665,0.063295067,0.003248833,0.004659832,0.004526935,0.027865881,0.01884058,0.031976744,0.023409364,0,0.005555556,0,0,0,0,0,0,0,0,0,1,0.014252156,0.297735526,4.41E-05,0.000191895,0.000128035,6.43E-05,1,1,1,0,0,0,0
9606.ENSP00000364520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000377601,0,0.166666667,0,0,0.220253165,0.186915888,0.064935065,0.003610108,0.071428571,0,0,0,0,0.257254896,0.255834984,0.227425423,0.172063492,0.199681782,0.175953079,0.267779571,0.288006112,0.131554452,0.005506238,0.005902454,0.001810774,0.053919348,0.033333333,0.011627907,0.00120048,0.005847953,0.001851852,0,0,0,0,0,0,0,0,0,1,0.254705625,0.75390546,0.000794913,0.001364489,0.000887664,0.000498356,1,1,0,0,0,0,0
9606.ENSP00000366522,0,0,0,0,0.012151899,0,0.012987013,0,0,0,0,0,0,0.013032044,0.018861425,0.023447998,0.01010101,0.013126492,0.022482893,0.005026685,0.00381971,0.004343779,0.001891339,0.001242622,0.006337709,0.000906208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.013400245,0.654960726,3.68E-05,6.92E-05,3.86E-05,1.73E-05,1,1,1,0,0,0,0
