protein,shortest_path_length,label
9606.ENSP00000264029,-6,0.0
9606.ENSP00000291526,-6,0.0
9606.ENSP00000415430,-2,0.0
9606.ENSP00000417303,-6,0.0
9606.ENSP00000216214,-3,0.0
9606.ENSP00000355157,-6,0.0
9606.ENSP00000429200,-3,0.0
9606.ENSP00000272645,-3,0.0
9606.ENSP00000380150,-3,0.0
9606.ENSP00000339730,-6,0.0
9606.ENSP00000347834,-2,0.0
9606.ENSP00000417583,-6,0.0
9606.ENSP00000273695,-3,0.0
9606.ENSP00000348010,-3,0.0
9606.ENSP00000339626,-4,0.0
9606.ENSP00000305494,-2,0.0
9606.ENSP00000421191,-6,0.0
9606.ENSP00000414558,-3,0.0
9606.ENSP00000369573,-6,0.0
9606.ENSP00000351937,-3,0.0
9606.ENSP00000312027,-6,0.0
9606.ENSP00000334657,-3,0.0
9606.ENSP00000305069,-3,0.0
9606.ENSP00000319141,-3,0.0
9606.ENSP00000240335,-3,0.0
9606.ENSP00000354483,-6,0.0
9606.ENSP00000268766,-3,0.0
9606.ENSP00000289166,-3,0.0
9606.ENSP00000311665,-2,0.0
9606.ENSP00000263388,-2,0.0
9606.ENSP00000321963,-6,0.0
9606.ENSP00000265342,-2,0.0
9606.ENSP00000376910,-3,0.0
9606.ENSP00000389414,-3,0.0
9606.ENSP00000355166,-3,0.0
9606.ENSP00000258415,-6,0.0
9606.ENSP00000253693,-3,0.0
9606.ENSP00000358033,-3,0.0
9606.ENSP00000357052,-3,0.0
9606.ENSP00000349687,-3,0.0
9606.ENSP00000344563,-6,0.0
9606.ENSP00000429190,-3,0.0
9606.ENSP00000370968,-2,0.0
9606.ENSP00000473842,-6,0.0
9606.ENSP00000295824,-3,0.0
9606.ENSP00000297625,-3,0.0
9606.ENSP00000453502,-3,0.0
9606.ENSP00000223642,-3,0.0
9606.ENSP00000367714,-6,0.0
9606.ENSP00000431287,-3,0.0
9606.ENSP00000364847,-3,0.0
9606.ENSP00000377944,-2,0.0
9606.ENSP00000465517,-3,0.0
9606.ENSP00000275358,-3,0.0
9606.ENSP00000361486,-3,0.0
9606.ENSP00000295148,-3,0.0
9606.ENSP00000301336,-3,0.0
9606.ENSP00000366347,-6,0.0
9606.ENSP00000359520,-3,0.0
9606.ENSP00000400995,-3,0.0
9606.ENSP00000350369,-3,0.0
9606.ENSP00000363136,-3,0.0
9606.ENSP00000365533,-3,0.0
9606.ENSP00000364034,-3,0.0
9606.ENSP00000356214,-6,0.0
9606.ENSP00000306497,-6,0.0
9606.ENSP00000356430,-6,0.0
9606.ENSP00000404281,-6,0.0
9606.ENSP00000379651,-6,0.0
9606.ENSP00000483430,-3,0.0
9606.ENSP00000340004,-3,0.0
9606.ENSP00000360958,-6,0.0
9606.ENSP00000378492,-6,0.0
9606.ENSP00000359768,-3,0.0
9606.ENSP00000262895,-3,0.0
9606.ENSP00000295619,-6,0.0
9606.ENSP00000286808,-6,0.0
9606.ENSP00000380251,-3,0.0
9606.ENSP00000332185,-6,0.0
9606.ENSP00000369127,-2,0.0
9606.ENSP00000403910,-3,0.0
9606.ENSP00000348708,-3,0.0
9606.ENSP00000355797,-6,0.0
9606.ENSP00000344828,-3,0.0
9606.ENSP00000330485,-2,0.0
9606.ENSP00000264661,-3,0.0
9606.ENSP00000344140,-3,0.0
9606.ENSP00000329357,-2,0.0
9606.ENSP00000400312,-3,0.0
9606.ENSP00000215659,-2,0.0
9606.ENSP00000330237,-2,0.0
9606.ENSP00000359170,-2,0.0
9606.ENSP00000406220,-6,0.0
9606.ENSP00000483936,-3,0.0
9606.ENSP00000358802,-2,0.0
9606.ENSP00000392678,-3,0.0
9606.ENSP00000306138,-6,0.0
9606.ENSP00000262648,-6,0.0
9606.ENSP00000326238,-6,0.0
9606.ENSP00000300413,-2,0.0
9606.ENSP00000269834,-6,0.0
9606.ENSP00000262189,-2,0.0
9606.ENSP00000260010,-3,0.0
9606.ENSP00000355082,-3,0.0
9606.ENSP00000306752,-2,0.0
9606.ENSP00000320416,-3,0.0
9606.ENSP00000251472,-3,0.0
9606.ENSP00000405388,-6,0.0
9606.ENSP00000334836,-3,0.0
9606.ENSP00000306080,-3,0.0
9606.ENSP00000479618,-2,0.0
9606.ENSP00000221801,-2,0.0
9606.ENSP00000280357,-3,0.0
9606.ENSP00000417677,-3,0.0
9606.ENSP00000247003,-3,0.0
9606.ENSP00000387982,-2,0.0
9606.ENSP00000320309,-3,0.0
9606.ENSP00000296506,-6,0.0
9606.ENSP00000369862,-3,0.0
9606.ENSP00000215885,-6,0.0
9606.ENSP00000295802,-3,0.0
9606.ENSP00000483547,-3,0.0
9606.ENSP00000261937,-2,0.0
9606.ENSP00000472985,-2,0.0
9606.ENSP00000387282,-3,0.0
9606.ENSP00000316338,-3,0.0
9606.ENSP00000375063,-6,0.0
9606.ENSP00000308770,-3,0.0
9606.ENSP00000270142,-2,0.0
9606.ENSP00000396918,-3,0.0
9606.ENSP00000324127,-3,0.0
9606.ENSP00000353094,-2,0.0
9606.ENSP00000313921,-3,0.0
9606.ENSP00000361263,-3,0.0
9606.ENSP00000340943,-6,0.0
