protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,label
9606.ENSP00000360268,0,0,0,0,0.023391813,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.11106746,0.730822873,0.318221447,0.130434783,0.266666667,0.789473684,0.033726813,0.36,0.018181818,0.094455852,0.355421687,0.197044335,0.093023256,0.37037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.171838345,0.29181852,0.000109123,1,1,1,1,0,0,7.77e-05,4.84e-05,2.32e-05,0
9606.ENSP00000360268,0,0,0,0,0.040935673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119373667,0.025104603,0.006974717,0.125603865,0.0,0.0,0.005059022,0.0,0.0,0.079397673,0.018072289,0.014778325,0.058139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.123480486,0.2810368,2.77e-05,1,1,1,1,0,0,6.9e-05,3.82e-05,1.63e-05,0
9606.ENSP00000360268,0,0,0,0,0.046783626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125883938,0.125523013,0.013077594,0.111111111,0.05,0.052631579,0.006745363,0.04,0.0,0.189596167,0.030120482,0.014778325,0.081395349,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.142940926,0.31633008,1.74e-05,1,1,1,1,0,0,6.11e-05,3.06e-05,1.19e-05,0
9606.ENSP00000360268,0,0,0,0,0.011695906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094960153,0.006973501,0.007846556,0.115942029,0.0,0.0,0.010118044,0.0,0.0,0.089664613,0.0,0.0,0.058139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.099914694,0.268928,3.9e-06,1,1,1,1,0,0,5.86e-05,2.65e-05,8.53e-06,0
9606.ENSP00000360268,0,0,0,0,0.046783626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067347626,0.0,0.016564952,0.072463768,0.0,0.052631579,0.018549747,0.0,0.0,0.058179329,0.0,0.014778325,0.069767442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.071870335,0.2810368,7.7e-05,1,1,1,1,0,0,7.4e-05,4.46e-05,2.11e-05,0
9606.ENSP00000360268,0,0,0,0,0.052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102200022,0.0027894,0.006974717,0.111111111,0.016666667,0.0,0.003372681,0.0,0.0,0.093086927,0.0,0.014778325,0.058139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.107165707,0.2810368,3.19e-05,1,1,1,1,0,0,7.53e-05,4.51e-05,2.09e-05,0
9606.ENSP00000360268,0,0,0,0,0.081871345,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.155236278,0.0,0.0,0.164251208,0.0,0.0,0.016863406,0.0,0.0,0.109514031,0.0,0.0,0.162790698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.1598955,0.2810368,2.5e-05,1,1,1,1,0,0,7.64e-05,4.55e-05,2.06e-05,0
9606.ENSP00000360268,0,0,0,0,0.058479532,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.183241666,0.0,0.101133391,0.115942029,0.0,0.052631579,0.006745363,0.0,0.0,0.167008898,0.0,0.078817734,0.104651163,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.196950309,0.25181037,2.4e-05,1,1,1,1,0,0,6.75e-05,3.78e-05,1.67e-05,0
9606.ENSP00000360268,0,0,0,0,0.035087719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082444719,0.0,0.101133391,0.062801932,0.0,0.052631579,0.013490725,0.0,0.0,0.07118412,0.0,0.078817734,0.023255814,0.0,0.0,0.032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.092610365,0.25029648,2.24e-05,1,1,1,1,0,0,6.29e-05,3.21e-05,1.26e-05,0
9606.ENSP00000360268,0,0,0,0,0.005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042934112,0.083682008,0.102005231,0.048309179,0.016666667,0.105263158,0.005059022,0.08,0.0,0.030116359,0.036144578,0.039408867,0.023255814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.054435914,0.2810368,2.47e-06,1,1,1,1,0,0,5.47e-05,2.3e-05,6.77e-06,0
9606.ENSP00000360268,0,0,0,0,0.011695906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050061735,0.0,0.008718396,0.072463768,0.0,0.0,0.010118044,0.0,0.0,0.056125941,0.0,0.0,0.081395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0540627,0.2373888,3.91e-05,1,1,1,1,0,0,6.2e-05,3.2e-05,1.32e-05,0
9606.ENSP00000360268,0,0,0,0,0.040935673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109944999,0.008368201,0.003487358,0.082125604,0.016666667,0.0,0.006745363,0.0,0.0,0.080766598,0.0,0.0,0.081395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.113190446,0.2683648,2.89e-05,1,1,1,1,0,0,6.99e-05,3.89e-05,1.67e-05,0
