protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000364379,5.7,1,73.7,1.0,-68.0,68.0,0
9606.ENSP00000330484,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000400932,4.8,1,73.7,1.0,-68.9,68.9,0
9606.ENSP00000256255,92.7,1,73.7,1.0,19.0,19.0,0
9606.ENSP00000349459,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000239451,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000367299,19.4,1,73.7,1.0,-54.3,54.3,0
9606.ENSP00000380479,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000293825,0.8,1,73.7,1.0,-72.9,72.9,0
9606.ENSP00000367658,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000271751,1.0,1,73.7,1.0,-72.7,72.7,0
9606.ENSP00000311513,18.4,1,73.7,1.0,-55.3,55.3,0
9606.ENSP00000268482,40.5,1,73.7,1.0,-33.2,33.2,0
9606.ENSP00000327599,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000310356,22.7,1,73.7,1.0,-51.0,51.0,0
9606.ENSP00000249700,0.8,1,73.7,1.0,-72.9,72.9,0
9606.ENSP00000357922,5.5,1,73.7,1.0,-68.2,68.2,0
9606.ENSP00000398880,22.2,1,73.7,1.0,-51.5,51.5,0
9606.ENSP00000253122,41.8,1,73.7,1.0,-31.90000000000001,31.90000000000001,0
9606.ENSP00000294618,2.8,1,73.7,1.0,-70.9,70.9,0
9606.ENSP00000419412,93.8,1,73.7,1.0,20.09999999999999,20.09999999999999,0
9606.ENSP00000351380,33.7,1,73.7,1.0,-40.0,40.0,0
9606.ENSP00000342938,27.8,1,73.7,1.0,-45.900000000000006,45.900000000000006,0
9606.ENSP00000358798,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000007735,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000417138,3.6,1,73.7,1.0,-70.10000000000001,70.10000000000001,0
9606.ENSP00000349929,88.8,1,73.7,1.0,15.099999999999994,15.099999999999994,0
9606.ENSP00000361066,12.5,1,73.7,1.0,-61.2,61.2,0
9606.ENSP00000307636,6.0,1,73.7,1.0,-67.7,67.7,0
9606.ENSP00000262370,38.5,1,73.7,1.0,-35.2,35.2,0
9606.ENSP00000429148,2.3,1,73.7,1.0,-71.4,71.4,0
9606.ENSP00000435460,20.6,1,73.7,1.0,-53.1,53.1,0
9606.ENSP00000297562,3.8,1,73.7,1.0,-69.9,69.9,0
9606.ENSP00000432614,14.1,1,73.7,1.0,-59.6,59.6,0
9606.ENSP00000340523,7.4,1,73.7,1.0,-66.3,66.3,0
9606.ENSP00000381064,59.8,1,73.7,1.0,-13.900000000000006,13.900000000000006,0
9606.ENSP00000483507,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000299847,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000362734,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000320324,60.6,1,73.7,1.0,-13.1,13.1,0
9606.ENSP00000216951,47.7,1,73.7,1.0,-26.0,26.0,0
9606.ENSP00000463188,218.3,1,73.7,1.0,144.60000000000002,144.60000000000002,0
9606.ENSP00000442786,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000261205,0.4,1,73.7,1.0,-73.3,73.3,0
9606.ENSP00000263207,0.7,1,73.7,1.0,-73.0,73.0,0
9606.ENSP00000324804,133.6,1,73.7,1.0,59.89999999999999,59.89999999999999,0
9606.ENSP00000379680,19.4,1,73.7,1.0,-54.3,54.3,0
9606.ENSP00000262294,25.8,1,73.7,1.0,-47.900000000000006,47.900000000000006,0
9606.ENSP00000432104,2.2,1,73.7,1.0,-71.5,71.5,0
9606.ENSP00000357022,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000321179,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000296509,13.7,1,73.7,1.0,-60.0,60.0,0
9606.ENSP00000418009,19.1,1,73.7,1.0,-54.6,54.6,0
9606.ENSP00000363298,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000299335,34.8,1,73.7,1.0,-38.900000000000006,38.900000000000006,0
