,gene_id,hpa_location,provenance,StringID
193,MEGF11,plasma membrane:endomembrane system,uniprot,9606.ENSP00000386908
194,BDP1,nucleus,uniprot,9606.ENSP00000351575
195,CCDC88B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000349238
196,CCDC88B,nuclear membrane:nucleus,uniprot,9606.ENSP00000349238
197,CCDC88B,cytoplasm,uniprot,9606.ENSP00000349238
198,CCDC88B,microtubules:cytoplasm,uniprot,9606.ENSP00000349238
199,CCDC88B,actin filaments:cytoplasm,uniprot,9606.ENSP00000349238
200,CCDC88B,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000349238
201,CCDC88B,centrosome:cytoplasm,uniprot,9606.ENSP00000349238
202,CCDC88B,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000349238
203,CCDC88B,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000349238
204,NKX2-6,nucleus,uniprot,9606.ENSP00000320089
205,IZUMO1R,plasma membrane:endomembrane system,uniprot,9606.ENSP00000332963
206,IZUMO1R,microtubules:cytoplasm,uniprot,9606.ENSP00000332963
207,IZUMO1R,actin filaments:cytoplasm,uniprot,9606.ENSP00000332963
208,IZUMO1R,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000332963
209,FAM83G,cytoplasm,uniprot,9606.ENSP00000373647
210,FAM83G,cytosol:cytoplasm,uniprot,9606.ENSP00000373647
211,FAM83G,nucleus,uniprot,9606.ENSP00000373647
212,PALM3,cytoplasm,uniprot,9606.ENSP00000344996
213,PALM3,plasma membrane:endomembrane system,uniprot,9606.ENSP00000344996
215,TMEM8B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000367227
216,TMEM8B,cytoplasm,uniprot,9606.ENSP00000367227
217,TMEM8B,nucleus,uniprot,9606.ENSP00000367227
218,TMEM8B,mitochondria:cytoplasm,uniprot,9606.ENSP00000367227
219,TMEM8B,endoplasmic reticulum:endomembrane system,uniprot,9606.ENSP00000367227
220,RCCD1,nucleus,uniprot,9606.ENSP00000377801
221,TRABD2B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000476820
222,TCAF2,plasma membrane:endomembrane system,uniprot,9606.ENSP00000412724
223,MFSD2B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000385527
224,SDHAF1,mitochondria:cytoplasm,uniprot,9606.ENSP00000368165
225,PCARE,plasma membrane:endomembrane system,uniprot,9606.ENSP00000332809
226,PCARE,microtubules:cytoplasm,uniprot,9606.ENSP00000332809
227,PCARE,actin filaments:cytoplasm,uniprot,9606.ENSP00000332809
228,PCARE,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000332809
229,OOEP,cytoplasm,uniprot,9606.ENSP00000359384
230,OOEP,nucleus,uniprot,9606.ENSP00000359384
233,TUBAL3,cytoplasm,uniprot,9606.ENSP00000369784
234,TUBAL3,microtubules:cytoplasm,uniprot,9606.ENSP00000369784
235,TUBAL3,actin filaments:cytoplasm,uniprot,9606.ENSP00000369784
236,TUBAL3,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000369784
237,SMCHD1,nucleus,uniprot,9606.ENSP00000326603
238,MSGN1,nucleus,uniprot,9606.ENSP00000281047
239,MYMK,plasma membrane:endomembrane system,uniprot,9606.ENSP00000419712
240,MYMK,golgi apparatus:endomembrane system,uniprot,9606.ENSP00000419712
