,protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0
2259,9606.ENSP00000264896,0.00011565607781321153,0.0003561805481212657,0.0011391520676404992,0.002665682673316894,0.002888633143472222,0.0030278730384742654,0.0032852746006257366,0.004812863164602647,0.005083127697246231,0.005240834175616566
2260,9606.ENSP00000349208,0.00035004354756157114,0.0006429737640919916,0.0011238535550338559,0.0015563775934474048,0.001916157833393699,0.0021971523023818712,0.0025397210139915857,0.0027385564456139616,0.002915922263168028,0.003321812639740436
2261,9606.ENSP00000305702,0.002220152313889368,0.0032531992438681887,0.004121223843313009,0.0047055030749019065,0.005734127147426409,0.008445847939012997,0.009230400538342395,0.009911573682243381,0.010467233934159307,0.011038328945727021
2262,9606.ENSP00000383611,0.0004985956850792428,0.0006986060083238937,0.001118648362978026,0.001437124988461244,0.0016730289321766484,0.00196677737490618,0.0021634794189257715,0.0022965010864487824,0.004028960301152198,0.004409606833321845
2263,9606.ENSP00000254051,0.00012302797575727725,0.0002278561186979643,0.0004517239016440258,0.0005547334544883239,0.0006826572282882282,0.0008033181426227336,0.0009424235573030393,0.0012789239509528806,0.0014185346387273379,0.0015218690657539846
2264,9606.ENSP00000354733,2.341470345874558e-05,3.671203403217764e-05,6.175879630572074e-05,7.939961889703122e-05,9.677582186048451e-05,0.00011862271857464532,0.00014604732064885911,0.00016331628996664444,0.00017801963752840546,0.00019787128202424873
2265,9606.ENSP00000351605,0.014667637534661741,0.014852636653330094,0.015126726106158735,0.015434484834793538,0.02137306653271348,0.02344392823169751,0.02358426166268782,0.023766886263153625,0.02534669431222699,0.025634935701872943
2266,9606.ENSP00000364028,7.275980991479808e-05,0.009678991246593565,0.009999816163070302,0.010480286121171356,0.010607629340503518,0.01068613902787733,0.01078569669152934,0.010923764989867125,0.011155380408230242,0.011270736604240727
2267,9606.ENSP00000258874,3.201651449762745e-05,7.080553925718171e-05,0.0001228450407148777,0.00015941097394133705,0.0001767632217192267,0.0002424105955841647,0.00027213437394383677,0.00029756988863883106,0.00033496002463199987,0.0003680319016635941
2268,9606.ENSP00000371586,0.00010684916657690112,0.00017055580751125366,0.0003456997293784026,0.00042490129678479985,0.0005859775221775644,0.0017049491794216378,0.0017852131918469748,0.001916447739790158,0.002000489000914709,0.0020672131404457354
2269,9606.ENSP00000320658,4.540111603832811e-05,0.00017928541525891984,0.00045103990634323655,0.0006284497928921598,0.00074768530806542,0.0008856679442995104,0.0011041582074187218,0.0012513741126823747,0.0014295743148313822,0.0016397084348287931
2270,9606.ENSP00000293725,5.268340914300356e-05,6.76010299597958e-05,9.482611134744395e-05,0.00010403264113028087,0.000139944977487399,0.00015455792346406023,0.00016373374783901202,0.0002351785842664769,0.0002616583154887504,0.00027069897497294276
2271,9606.ENSP00000316176,0.0007103740211926867,0.002037254164962543,0.00722957510149073,0.008938999056552516,0.010635707035722867,0.012283511617504406,0.013228255181071815,0.016004554001732448,0.018988248583748667,0.020780245368815523
