protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000368686,0.0001133583671272,8.566473548788061e-05,4.574154345526996e-05
9606.ENSP00000363985,1.1409682869687453e-05,4.630203650086869e-06,1.5154141495677544e-06
9606.ENSP00000480476,3.7457640286105017e-06,2.0565964268666272e-06,7.516873375016984e-07
9606.ENSP00000301037,8.53437565546254e-05,4.5742391515124394e-05,2.0539096486702415e-05
9606.ENSP00000384262,5.587203715937272e-06,2.5231673594491343e-06,7.804380257628265e-07
9606.ENSP00000360576,1.351512157425928e-05,5.418756273615487e-06,1.524166040668241e-06
9606.ENSP00000370719,0.0001109342166188,4.33056778680376e-05,1.29483385081573e-05
9606.ENSP00000416002,6.667044325308404e-06,2.779163247206578e-06,7.913266923429229e-07
9606.ENSP00000410466,1.790168057739892e-05,1.2015417790771008e-05,6.079597917330175e-06
9606.ENSP00000332371,8.44055153967924e-05,6.512576570478975e-05,3.4847116767423225e-05
9606.ENSP00000392371,2.921979693294757e-06,1.1429696900928751e-06,3.086501678626287e-07
9606.ENSP00000359127,7.456596644319119e-06,3.308531183128281e-06,1.1928779167850335e-06
9606.ENSP00000392500,3.8180147998294715e-05,2.0723988481362736e-05,9.206250638917054e-06
9606.ENSP00000426359,9.046317385023258e-06,3.7636771334076465e-06,1.0926947676554204e-06
9606.ENSP00000269703,3.2579943400961444e-05,1.7132062330829088e-05,6.946218678833185e-06
9606.ENSP00000352738,7.218067514596218e-05,4.000799425039759e-05,1.7673775268727615e-05
9606.ENSP00000037869,1.0081996326492815e-05,4.2897969876223805e-06,1.2705802946923383e-06
9606.ENSP00000443917,6.358744050407685e-06,1.8320839140773236e-06,3.935987786209203e-07
9606.ENSP00000346160,2.4589729274230053e-05,1.0846841437853045e-05,4.0717693730869525e-06
9606.ENSP00000358525,4.227488786149179e-05,1.7747952642513358e-05,5.428385044547195e-06
9606.ENSP00000370419,3.0076930899946075e-06,1.323504061456176e-06,4.056966623122472e-07
9606.ENSP00000307423,3.304034877581871e-06,2.28773923129709e-06,1.1754214718860656e-06
9606.ENSP00000361245,5.242067843455809e-05,2.701717701445111e-05,1.09524048548437e-05
9606.ENSP00000313121,2.6357787865147433e-05,2.2749752990757344e-05,1.3185998736420422e-05
9606.ENSP00000453793,4.6270537200633514e-05,2.711433939718587e-05,1.1566155499935186e-05
9606.ENSP00000454062,2.032234354894797e-05,1.5481259111408537e-05,8.10558036069298e-06
9606.ENSP00000264709,8.010586019850695e-05,4.720341991497989e-05,2.022129005499027e-05
9606.ENSP00000296137,3.79233446403109e-05,2.5432694493341548e-05,1.2484764729608147e-05
9606.ENSP00000323811,1.523046312523598e-05,5.7140299222377145e-06,1.532961733470723e-06
9606.ENSP00000303766,1.1543571952609942e-05,4.490897816069476e-06,1.2351144929660183e-06
9606.ENSP00000359546,1.8710855229749967e-06,7.03989207738696e-07,1.8425293016904968e-07
9606.ENSP00000309610,6.295750105726356e-06,2.3946715875411055e-06,6.543812402029254e-07
9606.ENSP00000368244,6.789320469526118e-06,2.9571607926766077e-06,8.640008745115334e-07
9606.ENSP00000368450,5.036964947862432e-06,2.3511760073018765e-06,7.425149711245814e-07
9606.ENSP00000373610,1.0544303491904063e-06,3.7215713103117043e-07,9.260547550583627e-08
9606.ENSP00000475025,2.1836449967588186e-07,7.504548906569079e-08,1.7015845427091673e-08
9606.ENSP00000320376,3.1878943413590654e-06,1.7266903930236169e-06,6.144521296654822e-07
9606.ENSP00000327533,2.5101284171416895e-06,9.88709238881257e-07,2.690713166733647e-07
9606.ENSP00000339186,8.895586793367192e-05,4.821641836364905e-05,2.1083307609040004e-05
9606.ENSP00000394757,1.782434962309995e-05,1.4866746888283793e-05,8.425595201740743e-06
9606.ENSP00000264028,7.959737704177762e-05,4.8107462199007425e-05,2.2335446028664712e-05
9606.ENSP00000477564,9.542275893689258e-06,4.658201734444086e-06,1.822526502828665e-06
9606.ENSP00000377782,1.0317976518918492e-05,4.520299877935201e-06,1.343404895115784e-06
9606.ENSP00000361057,8.538324145786662e-05,7.166244058095137e-05,4.144767524464151e-05
9606.ENSP00000363868,6.088456795510227e-05,5.170930674995195e-05,3.022390990594401e-05
9606.ENSP00000419665,6.309653077297027e-05,3.394273606830739e-05,1.4918934229100632e-05
9606.ENSP00000274793,4.0978658620256646e-05,2.512433118925782e-05,1.0805546639492902e-05
9606.ENSP00000357927,3.124841337290288e-06,1.5717084788855403e-06,5.275114226021256e-07
9606.ENSP00000325677,6.650436562877208e-05,3.101871692986785e-05,1.0793329035384755e-05
9606.ENSP00000311962,2.3001795351276086e-05,1.205777542507554e-05,4.588402048240689e-06
9606.ENSP00000264819,1.795329130549721e-05,8.479480926491205e-06,2.9259352508076764e-06
9606.ENSP00000318158,2.200206860629136e-05,6.792647249622542e-06,1.600751357513473e-06
9606.ENSP00000357565,4.292150350248606e-05,1.745371091714899e-05,5.020102411181885e-06
9606.ENSP00000434034,3.660839298512045e-05,1.860293858924822e-05,7.7855337323735e-06
9606.ENSP00000386280,2.0298064861376116e-06,1.032194644111472e-06,3.530874718624608e-07
9606.ENSP00000351280,1.790168057739892e-05,1.2015417790771011e-05,6.079597917330176e-06
