protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000287585,3.0920447898097336e-05,4.833093043998815e-05,5.408486322266981e-05
9606.ENSP00000363520,1.7788144759833813e-05,3.116440348094329e-05,3.9730832213535905e-05
9606.ENSP00000357637,6.482593016698956e-05,5.973232691758312e-05,5.791950025013648e-05
9606.ENSP00000291041,6.36545373708941e-05,5.96006830164697e-05,5.787054033135064e-05
9606.ENSP00000438547,6.070641757105477e-05,5.9446607338031754e-05,5.786694600828923e-05
9606.ENSP00000288139,6.0947011661482975e-05,5.914724533795379e-05,5.7692119298735633e-05
9606.ENSP00000373472,4.046021058456972e-05,5.337623224477284e-05,5.635801426251419e-05
9606.ENSP00000268661,6.300627865130082e-05,5.9460591728566214e-05,5.7792451116256416e-05
9606.ENSP00000329858,3.0676623282488436e-05,4.493039887165651e-05,5.0933362217620015e-05
9606.ENSP00000369210,1.5265024558175355e-05,2.6640180294634774e-05,3.4396001865388826e-05
9606.ENSP00000352834,6.186775135574862e-05,5.915456131333485e-05,5.7691828260431066e-05
9606.ENSP00000300128,6.401379505405203e-05,6.047955321264453e-05,5.826952838106081e-05
9606.ENSP00000315379,6.270973244681954e-05,5.93306940572802e-05,5.770519783254713e-05
9606.ENSP00000444210,3.8026402762625366e-05,5.1794831961160526e-05,5.565508035942912e-05
9606.ENSP00000434995,6.400495476555079e-05,5.9506011893972754e-05,5.778281411039643e-05
9606.ENSP00000292782,6.405064050341025e-05,5.989557757857256e-05,5.7953919167630374e-05
9606.ENSP00000385814,3.4906108339782804e-05,4.8661764594726264e-05,5.377091292757541e-05
9606.ENSP00000385090,6.305138231255114e-05,5.891052569495514e-05,5.7456985814496875e-05
9606.ENSP00000332139,3.808704423136078e-05,5.207800131756812e-05,5.536277603823691e-05
9606.ENSP00000261800,5.064990182290785e-05,5.709762626793235e-05,5.733100260840729e-05
9606.ENSP00000361199,1.411076300428249e-05,2.124611273757182e-05,2.6514939236221835e-05
9606.ENSP00000283254,6.158911855891347e-05,5.927866368438117e-05,5.774645251221955e-05
9606.ENSP00000159087,6.289395969361067e-05,6.015400867909193e-05,5.8131547120865434e-05
9606.ENSP00000334872,3.437469058553688e-05,4.949233334627934e-05,5.459175736177713e-05
9606.ENSP00000406084,6.41529550193809e-05,5.95381497987546e-05,5.779878483735956e-05
9606.ENSP00000475700,5.594421054411214e-06,1.0660228326742072e-05,1.5133176930248736e-05
9606.ENSP00000376303,6.117236625868827e-05,5.929164763074368e-05,5.7772987929638475e-05
9606.ENSP00000466897,6.330903124762699e-05,5.9530815633479506e-05,5.782222797279246e-05
9606.ENSP00000222823,6.166894308989868e-05,5.878326192032546e-05,5.74137520743534e-05
9606.ENSP00000360184,0.0001295330730499,6.809822662035003e-05,6.03429798502475e-05
9606.ENSP00000357360,6.005631439620629e-05,5.9492038417374715e-05,5.790810246253386e-05
9606.ENSP00000258168,1.8635646483744495e-05,3.404285598662682e-05,4.3223797547398135e-05
9606.ENSP00000377384,5.386315024225041e-05,5.866159335710108e-05,5.828185021528043e-05
9606.ENSP00000386942,1.7277003280469216e-05,3.11893891193904e-05,3.981351983384229e-05
9606.ENSP00000334140,6.318726082099602e-05,5.9512789448490366e-05,5.7843011745717376e-05
9606.ENSP00000339115,6.336835940601304e-05,5.9952893934678286e-05,5.805751061416231e-05
