protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,go_sim,sub_sim,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000360455,0,0,0,0,0.038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011394892,0.014035088,0.003590664,0.008403361,0.012295082,0.0,0.009345794,0.073529412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011934249,0.143570364,4.9e-05,1.41e-05,1.16e-05,6.59e-06,1,1,1,0,0,0,0.6666666666666666,0.1013217842145618,-73.7,73.7,0
9606.ENSP00000225577,0,0,0,0,0.096153846,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076719057,0.161403509,0.035906643,0.088235294,0.172131148,0.173913043,0.062305296,0.117647059,0.084507042,0.07860262,0.07966457,0.011363636,0.18705036,0.152542373,0.136363636,0.03030303,0.0,0.0,0.008718396,0.017094017,0.0,0.0,0.0,0.0,0.0,0.017241379,0.0,1,0.107633416,0.756391328,1.44e-05,5.51e-05,2.95e-05,1.2e-05,1,1,1,0,0,0,0.7559289460184544,0.0733220060328204,-48.7,48.7,0
9606.ENSP00000283646,0,0,0,0,0.153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037328094,0.016959064,0.052064632,0.031512605,0.020491803,0.0,0.0,0.014705882,0.0,0.002495321,0.004192872,0.0,0.0,0.016949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.035652631,0.36124284,1.76e-05,3.3e-05,2.11e-05,1.06e-05,1,1,1,0,0,0,0.8819171036881969,0.0613903185062103,-60.3,60.3,0
9606.ENSP00000364864,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054616896,0.08128655,0.035906643,0.105042017,0.053278689,0.043478261,0.012461059,0.029411765,0.070422535,0.010605115,0.006289308,0.011363636,0.014388489,0.0,0.0,0.0,0.0,0.0,0.143853531,0.047008547,0.04379562,0.019607843,0.0,0.0,0.0,0.0,0.0,1,0.074908054,0.22158276,4.45e-06,5.2e-05,1.89e-05,5.11e-06,1,1,1,0,0,0,0.5039526306789696,-0.2030333258622656,-49.6,49.6,0
9606.ENSP00000302647,0,0,0,0,0.038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020137525,0.041520468,0.019748654,0.035714286,0.069672131,0.0,0.056074766,0.073529412,0.084507042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.026420476,0.1518804,5.16e-06,1.86e-05,9.42e-06,3.38e-06,1,1,1,0,0,0,0.5,-0.1104898456370373,-63.0,63.0,0
9606.ENSP00000362353,0,0,0,0,0.057692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019744597,0.036842105,0.017953321,0.042016807,0.040983607,0.086956522,0.015576324,0.029411765,0.084507042,0.013100437,0.029350105,0.056818182,0.035971223,0.06779661,0.0,0.0,0.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.028221872,0.709596244,0.000538793,0.000190739,0.00017837,0.000109643,1,1,1,0,0,0,0.4714045207910316,0.0,-73.7,73.7,0
9606.ENSP00000381504,0,0,0,0,0.153846154,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029764244,0.037426901,0.057450628,0.027310924,0.028688525,0.0,0.00623053,0.014705882,0.084507042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006974717,0.012820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.033776177,0.205275868,1.95e-05,3.38e-05,2.53e-05,1.41e-05,1,1,1,0,0,0,0.7559289460184544,-0.0280234544738693,-7.700000000000003,7.700000000000003,0
9606.ENSP00000433209,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.002554028,0.008187135,0.0,0.004201681,0.012295082,0.0,0.0,0.044117647,0.0,0.013724267,0.006289308,0.0,0.021582734,0.0,0.0,0.0,0.0,0.0,0.019180471,0.034188034,0.0,0.019607843,0.02,0.0,0.0,0.103448276,0.0,1,0.008781806,0.4023972,5.29e-05,2.15e-05,1.83e-05,1.06e-05,1,1,1,0,0,0,0.6666666666666666,-0.0393216533774526,-70.2,70.2,0
9606.ENSP00000353292,0,0,0,0,0.038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015618861,0.014619883,0.021543986,0.004201681,0.008196721,0.043478261,0.003115265,0.0,0.0,0.030567686,0.020964361,0.011363636,0.071942446,0.033898305,0.090909091,0.015151515,0.0,0.0,0.010462075,0.004273504,0.0,0.058823529,0.02,0.0,0.0,0.0,0.0,1,0.022592509,0.28281414,8.58e-06,1.98e-05,9.18e-06,3.35e-06,1,1,1,0,0,0,0.5555555555555556,0.069994200793147,-57.5,57.5,0
9606.ENSP00000356820,0,0,0,0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.016502947,0.021637427,0.007181329,0.029411765,0.0,0.086956522,0.009345794,0.029411765,0.0,0.040548971,0.035639413,0.034090909,0.035971223,0.042372881,0.0,0.015151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.024544022,0.209804,6.33e-06,2.37e-05,9.83e-06,3.07e-06,1,1,1,0,0,0,0.5,0.1571228619462089,-38.0,38.0,0
