protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000368528,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.017387033,0.022222222,0.007181329,0.006302521,0.012295082,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0,0.038360942,0.076923077,0.01459854,0.12745098,0.18,0.125,0.019736842,0.465517241,0,1,0.025820011,0.56260512,4.25E-05,4.49E-05,2.31E-05,9.13E-06,1,1,1,0,0,0,0
9606.ENSP00000301896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001871491,0,0,0,0.008474576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000300233,0.195188994,7.86E-08,1.18E-06,3.54E-07,6.88E-08,1,1,1,1,0,0,0
9606.ENSP00000409544,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000491159,0,0,0,0,0,0,0,0,0.025577043,0.033542977,0.011363636,0.100719424,0.042372881,0.181818182,0.015151515,0,0,0.013949433,0.004273504,0.00729927,0.039215686,0.1,0.125,0,0,0,1,0.00863169,0.2599014,5.86E-06,1.90E-05,6.77E-06,1.74E-06,1,1,1,1,0,0,0
9606.ENSP00000449381,0,0,0,0,0.096153846,0,0,0,0,0,0,0,0,0.021218075,0.052046784,0.017953321,0.018907563,0.028688525,0,0.012461059,0,0,0.038053649,0.037735849,0.011363636,0.043165468,0.025423729,0,0.015151515,0.076923077,0,0.013949433,0.004273504,0,0,0,0,0,0,0,1,0.03362606,0.5193888,2.66E-05,2.68E-05,1.75E-05,8.78E-06,1,1,1,0,0,0,0
9606.ENSP00000364260,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831041,0.005847953,0.001795332,0.004201681,0.008196721,0,0,0,0,0.001247661,0,0,0.007194245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004278316,0.13015695,1.22E-06,2.99E-06,1.24E-06,3.57E-07,1,1,1,1,0,0,0
9606.ENSP00000264833,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0.006581532,0.013450292,0,0.00210084,0.016393443,0,0.003115265,0,0.084507042,0.018091079,0.014675052,0,0.035971223,0.025423729,0,0,0.153846154,0,0.016564952,0.038461538,0.01459854,0.049019608,0.06,0,0,0,0.035842294,1,0.01478646,0.346025568,5.16E-06,1.68E-05,6.95E-06,2.21E-06,1,1,1,0,0,0,0
9606.ENSP00000369965,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0.099017682,0.085964912,0.08438061,0.050420168,0.081967213,0,0.143302181,0.058823529,0,0.003119152,0.002096436,0,0.007194245,0,0,0,0,0,0.016564952,0.004273504,0,0.009803922,0,0,0.013157895,0,0,1,0.099602192,0.509697342,6.34E-06,4.71E-05,1.77E-05,5.04E-06,1,1,1,0,0,0,0
9606.ENSP00000368572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019155206,0.024561404,0.012567325,0.016806723,0.045081967,0,0,0,0,0.011852776,0.002096436,0,0.007194245,0.008474576,0,0,0,0,0.005231037,0.008547009,0,0,0,0,0,0,0,1,0.021992044,0.454950888,2.24E-06,1.20E-05,4.70E-06,1.28E-06,1,1,1,1,0,0,0
9606.ENSP00000225550,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001473477,0.000584795,0,0,0,0,0,0,0,0.002495321,0.008385744,0.011363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001876454,0.0981288,1.77E-07,6.68E-07,2.51E-07,6.74E-08,1,1,1,1,0,0,0
9606.ENSP00000376623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002357564,0.000584795,0.001795332,0,0,0,0.00623053,0,0.014084507,0.026824704,0.054507338,0.022727273,0.079136691,0.016949153,0.045454545,0.106060606,0,0,0,0,0,0,0,0,0,0,0,1,0.009082039,0.14875434,2.51E-06,5.78E-06,2.36E-06,6.83E-07,1,1,1,1,0,0,0
9606.ENSP00000293636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831041,0.005847953,0.005385996,0.004201681,0.008196721,0,0.003115265,0,0.084507042,0.0205864,0.023060797,0.011363636,0.007194245,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,1,0.008256399,0.2046456,1.12E-06,3.08E-06,1.49E-06,4.85E-07,1,1,1,1,0,0,0
