protein,shortest_path_length,label
9606.ENSP00000344393,-4,0.0
9606.ENSP00000300952,-4,0.0
9606.ENSP00000305494,-3,0.0
9606.ENSP00000263093,-3,0.0
9606.ENSP00000264670,-4,0.0
9606.ENSP00000343526,-3,0.0
9606.ENSP00000290894,-4,0.0
9606.ENSP00000295079,-3,0.0
9606.ENSP00000351159,-3,1.0
9606.ENSP00000369571,-3,0.0
9606.ENSP00000344563,-4,0.0
9606.ENSP00000203630,-4,0.0
9606.ENSP00000376352,-3,0.0
9606.ENSP00000252595,-3,0.0
9606.ENSP00000478384,-4,0.0
9606.ENSP00000263980,-3,0.0
9606.ENSP00000291577,-4,0.0
9606.ENSP00000267935,-4,0.0
9606.ENSP00000356476,-4,0.0
9606.ENSP00000245983,-4,0.0
9606.ENSP00000434034,-3,0.0
9606.ENSP00000301547,-4,0.0
9606.ENSP00000331504,-3,0.0
9606.ENSP00000358824,-4,0.0
9606.ENSP00000355325,-3,0.0
9606.ENSP00000315680,-3,0.0
9606.ENSP00000369131,-3,0.0
9606.ENSP00000332371,-3,0.0
9606.ENSP00000375647,-3,0.0
9606.ENSP00000391601,-3,0.0
9606.ENSP00000280614,-4,0.0
9606.ENSP00000478017,-4,0.0
9606.ENSP00000347338,-4,0.0
9606.ENSP00000359729,-3,0.0
9606.ENSP00000411132,-4,0.0
9606.ENSP00000255078,-3,0.0
9606.ENSP00000467931,-4,0.0
9606.ENSP00000339109,-3,0.0
9606.ENSP00000483077,-4,0.0
9606.ENSP00000481684,-4,0.0
9606.ENSP00000328977,-4,0.0
9606.ENSP00000308716,-4,0.0
9606.ENSP00000384917,-3,0.0
9606.ENSP00000340989,-3,0.0
9606.ENSP00000369586,-3,0.0
9606.ENSP00000254181,-4,0.0
9606.ENSP00000250916,-3,1.0
9606.ENSP00000415528,-4,0.0
9606.ENSP00000274054,-3,0.0
9606.ENSP00000284288,-4,0.0
9606.ENSP00000303246,-4,0.0
9606.ENSP00000310829,-4,0.0
9606.ENSP00000357000,-3,1.0
9606.ENSP00000311399,-3,0.0
9606.ENSP00000307858,-4,0.0
9606.ENSP00000369654,-3,0.0
9606.ENSP00000396467,-4,0.0
9606.ENSP00000399888,-3,0.0
9606.ENSP00000360540,-3,0.0
9606.ENSP00000390762,-4,0.0
9606.ENSP00000260505,-3,0.0
9606.ENSP00000470082,-4,0.0
9606.ENSP00000350676,-3,0.0
9606.ENSP00000331019,-3,0.0
9606.ENSP00000420256,-4,0.0
9606.ENSP00000295824,-3,0.0
9606.ENSP00000274793,-2,0.0
9606.ENSP00000325414,-4,0.0
9606.ENSP00000389414,-4,0.0
9606.ENSP00000474412,-3,0.0
9606.ENSP00000361471,-3,0.0
9606.ENSP00000384376,-4,0.0
9606.ENSP00000229583,-3,0.0
9606.ENSP00000260361,-3,0.0
9606.ENSP00000477310,-3,0.0
9606.ENSP00000329982,-4,0.0
9606.ENSP00000374135,-3,0.0
9606.ENSP00000324920,-4,0.0
9606.ENSP00000350719,-3,0.0
9606.ENSP00000261226,-3,0.0
9606.ENSP00000291576,-3,0.0
9606.ENSP00000335320,-3,1.0
9606.ENSP00000269703,-4,0.0
9606.ENSP00000366036,-3,0.0
9606.ENSP00000222330,-3,0.0
9606.ENSP00000297157,-3,0.0
9606.ENSP00000354580,-3,0.0
9606.ENSP00000172229,-3,0.0
9606.ENSP00000465121,-4,0.0
9606.ENSP00000232974,-4,0.0
9606.ENSP00000409007,-4,0.0
9606.ENSP00000235345,-4,0.0
9606.ENSP00000431445,-3,0.0
9606.ENSP00000321334,-2,0.0
9606.ENSP00000225983,-3,0.0
9606.ENSP00000321070,-4,0.0
9606.ENSP00000348278,-4,0.0
9606.ENSP00000346027,-3,0.0
9606.ENSP00000477870,-3,0.0
9606.ENSP00000369681,-3,0.0
9606.ENSP00000364839,-3,0.0
9606.ENSP00000322991,-3,0.0
9606.ENSP00000361206,-4,0.0
9606.ENSP00000230449,-3,1.0
9606.ENSP00000026218,-4,0.0
9606.ENSP00000352544,-4,0.0
9606.ENSP00000363207,-3,0.0
9606.ENSP00000222250,-4,0.0
9606.ENSP00000310301,-3,0.0
9606.ENSP00000267199,-3,1.0
9606.ENSP00000220166,-3,0.0
9606.ENSP00000479664,-4,0.0
9606.ENSP00000326249,-4,0.0
9606.ENSP00000400057,-3,0.0
9606.ENSP00000355996,-4,0.0
9606.ENSP00000366898,-3,0.0
9606.ENSP00000253693,-3,0.0
9606.ENSP00000365439,-3,0.0
9606.ENSP00000338927,-4,0.0
9606.ENSP00000442982,-4,0.0
9606.ENSP00000294507,-4,0.0
9606.ENSP00000380044,-3,0.0
9606.ENSP00000371333,-4,0.0
9606.ENSP00000309757,-2,0.0
9606.ENSP00000384952,-3,0.0
9606.ENSP00000484078,-4,0.0
9606.ENSP00000415454,-3,0.0
9606.ENSP00000264819,-4,0.0
9606.ENSP00000368872,-4,0.0
9606.ENSP00000459799,-3,0.0
9606.ENSP00000358391,-4,0.0
9606.ENSP00000397188,-4,0.0
9606.ENSP00000219197,-4,0.0
9606.ENSP00000264689,-4,0.0
9606.ENSP00000465500,-3,0.0
9606.ENSP00000313350,-4,0.0
9606.ENSP00000378897,-4,0.0
9606.ENSP00000355614,-4,0.0
9606.ENSP00000216639,-3,0.0
9606.ENSP00000298050,-4,0.0
9606.ENSP00000374013,-4,0.0
9606.ENSP00000256441,-4,0.0
9606.ENSP00000349957,-4,0.0
9606.ENSP00000345716,-3,0.0
9606.ENSP00000394757,-3,0.0
9606.ENSP00000303373,-3,0.0
9606.ENSP00000472308,-3,0.0
9606.ENSP00000314776,-4,0.0
9606.ENSP00000362888,-4,0.0
9606.ENSP00000254661,-4,0.0
9606.ENSP00000478396,-3,0.0
9606.ENSP00000442439,-4,0.0
9606.ENSP00000477817,-3,0.0
9606.ENSP00000384006,-4,0.0
9606.ENSP00000286648,-3,0.0
9606.ENSP00000356954,-3,0.0
9606.ENSP00000482954,-3,0.0
