,protein,RW_positive_30_0.1,RW_positive_30_0.2,RW_positive_30_0.3,RW_positive_30_0.4,RW_positive_30_0.5,RW_positive_30_0.6,RW_positive_30_0.7,RW_positive_30_0.8,RW_positive_30_0.9,RW_positive_30_1.0
5266,9606.ENSP00000417654,0.000289395960408001,0.000451738174433558,0.0006846656892776082,0.0009811148147491622,0.0012493191984503937,0.0015316443809751945,0.001849253666932782,0.002110413659920596,0.002413895665995369,0.002632709793488175
5267,9606.ENSP00000358716,0.010373468132456765,0.020747157454025,0.03162671750760637,0.04048224646248855,0.04908472517854534,0.05971117306035012,0.066289353009779,0.07640978551353328,0.0850121190014761,0.09412037313450128
5268,9606.ENSP00000483375,0.0007600757780892309,0.0015419034989463398,0.002367161803704221,0.003083852019699407,0.0038657092991343234,0.004647517984267324,0.005472809205457452,0.006298097841863637,0.007210241918073734,0.008078859535089578
5269,9606.ENSP00000299440,0.0017809266864787787,0.0036063834086235147,0.005075658122223103,0.007168277476012008,0.008949146471422864,0.010507472259632777,0.011932154855458066,0.013267836642626207,0.015048754110466689,0.016696061713446397
5270,9606.ENSP00000352849,1.9001241128080437e-05,3.85465102112903e-05,5.917812768529984e-05,7.709514932230377e-05,9.664172415568828e-05,0.00011618626382414732,0.0001368185896239993,0.0001574514041067232,0.0001802546749445355,0.0002019691293071446
5271,9606.ENSP00000240306,0.0015360223733296152,0.002397703930910211,0.0036340105325507466,0.005207538695685798,0.0066313072020420805,0.008129974510666216,0.009816014768148307,0.011202192181372084,0.012813396126148291,0.013974774275993695
5272,9606.ENSP00000417229,0.006344286215608008,0.012688724469626322,0.019342546569532715,0.024758503044722602,0.030019695666851476,0.03651874671049882,0.04054188406735193,0.046731439797440544,0.051992527180118486,0.05756302688678261
5273,9606.ENSP00000482885,0.007315785740502179,0.014840923817246221,0.02278394321911037,0.02968209386745002,0.03720733744557947,0.04473232482268941,0.05267567119153682,0.0606188771489542,0.0693983145756647,0.0777587741613388
5274,9606.ENSP00000432279,0.0017363141814712435,0.003472671418421669,0.005293710702972021,0.006775971418392146,0.008215870966523653,0.00999459125159774,0.011095664482127177,0.0127896579397202,0.014229522716050269,0.015754079482576344
5275,9606.ENSP00000324419,0.0010907306423177943,0.0021815014060848625,0.003325470504933037,0.0042566282354528084,0.005161169134225929,0.006278583961830009,0.00697026724992611,0.008034435057197697,0.008938940796724637,0.009896644905893481
5276,9606.ENSP00000427679,0.001313357690378325,0.002626757755933795,0.0040042063301370945,0.00512540252020699,0.006214566539711086,0.0075600266973196995,0.008392889521928737,0.009674248365627136,0.010763372261862969,0.01191655753791565
5277,9606.ENSP00000328251,0.0008035679456952494,0.001627219053261797,0.0022901382835698314,0.0032343200018658536,0.004037888114908128,0.004741014394312515,0.005383865172916558,0.005986549836961785,0.006790127568820026,0.007533426216468797
5278,9606.ENSP00000426809,0.0015636681746400427,0.0031663978479627986,0.004456355622096453,0.006293604321399471,0.007857343422074337,0.009225533023709431,0.010476532312168274,0.011649306645267643,0.01321299225310213,0.014659440261311829
5279,9606.ENSP00000271636,0.001291094180487562,0.002582223998615518,0.0039363238647638354,0.005038513660110766,0.006109205602115253,0.007431852238369174,0.008250596769357799,0.009510233132459689,0.010580894315353362,0.01171453422648483
5280,9606.ENSP00000238112,0.003952682069211733,0.00801832860452123,0.01230973044584971,0.016036573229939677,0.020102157206565607,0.024167815790860914,0.02845929336035624,0.03275066678179428,0.03749392364261439,0.04201120886136778
5281,9606.ENSP00000362463,0.001491445342253428,0.0029829323721060064,0.004547153406747384,0.005820375965413405,0.007057218132104026,0.00858509230238269,0.009530879739031661,0.010985975575749762,0.012222778859722894,0.013532323133404134
5282,9606.ENSP00000331369,0.0014062012087379117,0.0028526199093903415,0.004379364974738564,0.005705261934053851,0.007151679819799028,0.00859807735105278,0.010124866628757445,0.011651637072645826,0.013339131575776264,0.014946162860724144
5283,9606.ENSP00000287814,0.00042296377614547964,0.0006602305993510527,0.0010006612328652409,0.0014339299877974554,0.0018259139569636318,0.002238538383608102,0.0027027289534089505,0.003084427050453087,0.0035279652784083737,0.0038477735934066004
5284,9606.ENSP00000307208,0.01596121786860749,0.024915166199207306,0.03776198092964478,0.05411278433166444,0.06890705158002675,0.08447971276473254,0.10199921188177541,0.11640327688655816,0.13314482505666092,0.14521299742045812
5285,9606.ENSP00000276461,0.002910170405812096,0.005893048015423119,0.00829382110532606,0.011713181382219773,0.014623438655689824,0.01716981879872037,0.019498027832014486,0.021680696183466353,0.0245908969300217,0.027282867922622245
5286,9606.ENSP00000356988,0.0026539791833783966,0.0050255898968316615,0.0065501419121574145,0.008978214962553466,0.011180410347151337,0.013213200734753627,0.015471902348508593,0.017278673582040938,0.019537274707545293,0.021061782117612893
5287,9606.ENSP00000345772,0.002515506996132899,0.003926647601474542,0.00595131531736115,0.008528194950486068,0.010859705136681441,0.01331391263374826,0.016074910534371156,0.01834500599943567,0.02098333880712744,0.022885309954290278
5288,9606.ENSP00000480020,0.0006949996131879743,0.001407386615028372,0.0019808014621958137,0.002797452878439799,0.003492430485493969,0.004100557851415942,0.004656541845179163,0.005177775103220483,0.0058727628929773346,0.006515621997095877
5289,9606.ENSP00000366565,0.002381954382144613,0.003718163225130411,0.005635339362925151,0.008075362045929069,0.010282944753271295,0.012606743679498322,0.015220978912111605,0.01737053169927094,0.01986852080153767,0.02166952203697292
5290,9606.ENSP00000362080,0.0014801375946262851,0.002802791597787291,0.003653026789834257,0.005007139126973925,0.0062352655913855415,0.007368928399955621,0.008628618179500336,0.009636202430556295,0.010895784471358638,0.011745971733034821
5291,9606.ENSP00000351280,0.0007120526242943015,0.0011116741570731392,0.0016847153910930501,0.0024155538267223164,0.003079940363022615,0.003778166494157631,0.004564500681226491,0.005207281927141594,0.005962274124613032,0.006500619230791926
5292,9606.ENSP00000266087,0.013040069548878819,0.02469288374413736,0.03218390775145963,0.04411416786024347,0.05493465869221836,0.06492279240046628,0.0760206839768216,0.08489878711407073,0.09599657627404667,0.10348756916937418
5293,9606.ENSP00000384290,0.0026795052363013383,0.0050739442340272944,0.006613176468817983,0.009064604044397129,0.011287988996627973,0.013340340188733535,0.015620754569681594,0.01744493384831003,0.019725255675439257,0.021264461389364442
5294,9606.ENSP00000287394,0.004951800059643574,0.010027380354586057,0.014112597185885534,0.019931002854718827,0.024882703015464358,0.029215553586254828,0.03317688422976062,0.03689071188273374,0.0418424987437902,0.04642282836721279
5295,9606.ENSP00000357633,0.003700272282003425,0.007006881001871079,0.009132825645792764,0.012518120944150724,0.015588493370159995,0.018422985674988013,0.021572133904555812,0.024091332517855335,0.027240553477895446,0.02936615488579264
5296,9606.ENSP00000407653,5.103604223677394e-05,9.664322669777903e-05,0.00012596160684097413,0.00017265545443478914,0.00021500669458873745,0.00025409953673261043,0.00029753387161690625,0.0003322819745790184,0.0003757170651397246,0.0004050363124861178
5297,9606.ENSP00000243644,0.00028236157731953426,0.0005718015113416186,0.0008048110389609064,0.0011366229637133074,0.0014189596795404213,0.0016660291153129947,0.0018918990735983243,0.002103648600041197,0.002385992930157954,0.0026471606961422367
5298,9606.ENSP00000353874,0.005275852221529931,0.008235475281253457,0.012481915095122531,0.017886355402879417,0.02277588461583946,0.02792282623704523,0.033713110169628635,0.03847423610568512,0.04400693347270135,0.04799594925134443
5299,9606.ENSP00000386200,0.0015637583055649884,0.0031666253053117543,0.004456794897123473,0.006294256298133405,0.007857976874220185,0.00922626632018364,0.01047724298769026,0.011650027252471773,0.013213759593782015,0.014660210996225942
5300,9606.ENSP00000254667,0.00460774140083231,0.009215726619004272,0.014048353739781305,0.017981990429689176,0.02180320769548416,0.026523551234276965,0.029445467196637765,0.033940910892852116,0.03776193422527285,0.041807625915680546
5301,9606.ENSP00000449751,0.0047695531393401325,0.009675557783339173,0.014854044115054421,0.01935127901379019,0.02425738357123919,0.02916331239975989,0.034341981401667,0.03952057723654434,0.0452443075919291,0.05069500689569395
5302,9606.ENSP00000323670,0.0028452348706196062,0.005761706663179211,0.008109339978545904,0.011452703067334369,0.01429776631994173,0.016787377986474894,0.019063418003497645,0.021197228888922837,0.02404237151495181,0.026674088796426076
5303,9606.ENSP00000369599,0.0002171796641050605,0.00043978605117445113,0.0006189544205881248,0.000874136766014999,0.0010913199971582799,0.0012813508310500765,0.001455097518828552,0.001617983336927864,0.0018351635621911555,0.002036057662735402
5304,9606.ENSP00000306425,8.904406581677904e-05,0.00013899571490583185,0.00021066563544991368,0.00030188096638994466,0.0003844077034500515,0.00047127836933213985,0.0005690080593012681,0.000649365174012928,0.0007427495829688269,0.0008100754166662227
