protein,heat_0.1_0.1,heat_0.1_0.2,heat_0.1_0.3,heat_0.1_0.4,heat_0.1_0.5,heat_0.1_0.6,heat_0.1_0.7,heat_0.1_0.8,heat_0.1_0.9,heat_0.1_1.0
9606.ENSP00000419765,0.0024666522167535,0.0046253634955064,0.0069926248233969,0.0093778017708245,0.0113824404779734,0.0137143448218921,0.0158438979260608,0.0184130465777343,0.020302728344177,0.0224237128559252
9606.ENSP00000326806,0.0024044247002166,0.0046035994419071,0.006908416936767,0.0092286640642669,0.0111357965975003,0.0134718266476738,0.0155557883504116,0.0181171276221903,0.0200243660196974,0.0221109848384912
9606.ENSP00000351159,0.0024387443781961,0.0044999540505159,0.0067515439541239,0.0090419566395212,0.0111856350913512,0.0136328539165333,0.0157524997002838,0.018389053690953,0.0204601939767599,0.0225567825018515
9606.ENSP00000326563,0.0023452684499716,0.0044553239786182,0.0066015354568662,0.0087997633618215,0.0108355477514123,0.0131494651172943,0.0152960190293924,0.017917842618317,0.0199986304055528,0.0219828588637938
9606.ENSP00000268717,0.0023979612287803,0.0044487852392194,0.0066458349720051,0.0088880002695077,0.0109439035331888,0.0133507525338245,0.0154244875907352,0.0179945988097642,0.0200163132790294,0.0220874701149114
9606.ENSP00000380184,0.0019416769746385,0.0036477318101333,0.005694304378494,0.0077674664137248,0.0122673505450165,0.0141923411017614,0.0162222871010726,0.0186362773008568,0.0205638327195174,0.0228313797495047
9606.ENSP00000268712,0.0024238362566393,0.0045670780491491,0.0069502284113696,0.0093055018824088,0.0112673631174402,0.0136290881464447,0.0157379626989495,0.018255742023939,0.0201647486596812,0.0222662079809197
9606.ENSP00000317714,0.0023655834738747,0.0044143715876998,0.0065501084918651,0.0086718285156166,0.0106150227647958,0.0127154391193471,0.0148337905561675,0.0173218884979178,0.0194407538733685,0.0214772709318822
9606.ENSP00000331927,0.000826902440167,0.0014673614650746,0.0022325624859149,0.0029450664987962,0.0035806821670121,0.0048962657004949,0.0056079205072592,0.0063983395469904,0.0071270830280809,0.0077875590127405
9606.ENSP00000378165,0.002548882254814,0.0046486194296448,0.0069226506311679,0.0092251956666586,0.0113845266496355,0.0137959653757206,0.0160545956741771,0.0187534276601581,0.0208336245596001,0.0229486067028119
9606.ENSP00000365744,0.0020354491643956,0.0038664771673211,0.0058040952519604,0.0075483512921437,0.0092687225280769,0.0110283244137008,0.012925167455478,0.0151313707413009,0.0168738961549479,0.0185151017524276
9606.ENSP00000363868,0.0022341593594319,0.0040811757262417,0.0062534156004403,0.0083709917798842,0.010267940671838,0.0124074093596391,0.0143266069712808,0.0167094274361261,0.0187494042515936,0.0206983449375002
9606.ENSP00000264710,0.0023832096421756,0.0044339750779727,0.0066785726553462,0.008906942107842,0.0109806379473411,0.0133685745731781,0.015451045734153,0.0180217346751305,0.0200689779212552,0.0221588659387634
9606.ENSP00000200135,0.0024055928452071,0.0044463945014285,0.0066650756452872,0.008986804565211,0.0111103627095872,0.0135648201558069,0.0157412391199613,0.0183649045457059,0.0204265990150815,0.022592358300244
9606.ENSP00000387170,0.0024514986034773,0.0043872424294022,0.006512235333048,0.0085777301969756,0.0104143259736702,0.0127645531042617,0.0147469539820122,0.0172190382741064,0.0192479194906809,0.0214327696198779
9606.ENSP00000312709,0.0024922600950958,0.0046581651572523,0.0069246349726199,0.0092184406007618,0.011392149941912,0.0138540921639105,0.0160151660206793,0.0187233139045019,0.0208278241584594,0.0229321803840321
9606.ENSP00000380322,0.0017276347716688,0.0031320977159339,0.0046718771870928,0.0061000692783181,0.0074111636502038,0.0092493735103289,0.0106402053372676,0.0126065671668129,0.0140232121682402,0.0156589020014052
9606.ENSP00000222219,0.002330827548576,0.0042839465040742,0.0064299686646336,0.0084082587245575,0.0101901066600476,0.0123512908808152,0.0144801518667918,0.0167517582008258,0.018594746754843,0.0206619375244372
9606.ENSP00000263277,0.0024368495505768,0.004484989807679,0.0093022236915203,0.0114118577776025,0.0133888227001079,0.0155399520958781,0.0175758540567585,0.0200825070946848,0.022178497114055,0.0242107086010037
9606.ENSP00000221403,0.0020117145359108,0.0038708020119884,0.0058636318588014,0.0077660691611072,0.0095245475902174,0.0113132003066311,0.0131204741658166,0.0153895431087676,0.0172624406607155,0.0191974051488159
9606.ENSP00000378881,0.0006014748248617,0.001330632283782,0.0018226011555384,0.0023295512126537,0.0029622212080653,0.0036555157539055,0.0041303194647639,0.004882417276292,0.0055636715528066,0.0061694198452073
9606.ENSP00000353826,0.0024447707037325,0.0047421315812243,0.0069916742604618,0.0091582641152854,0.0111438328685835,0.0132585234650832,0.0153337463530078,0.0178791300381817,0.0200515954525144,0.0221129964079409
9606.ENSP00000354476,0.0024555907612011,0.0048615033283567,0.0070493338153028,0.0092260596484265,0.011294689231363,0.0136689758228385,0.0157326622893378,0.0186128111663492,0.0206381833331761,0.0276512248356084
9606.ENSP00000364430,0.0019349764088474,0.0035308576234456,0.005645983412478,0.0075413518663935,0.0090644599033566,0.0107798217118215,0.0126339887133326,0.0160448670362711,0.0175944163173653,0.0190500345610189
9606.ENSP00000480364,0.0023619856965524,0.0044787138995161,0.0067646928937392,0.0090420940787225,0.0109272978252192,0.013429075464046,0.0175236364766533,0.0200584948643154,0.0220671921883877,0.0241145499508093
9606.ENSP00000347206,0.00202401189199,0.0035718419314889,0.0056229023741707,0.0073982113665351,0.0093645721774464,0.0111380125476898,0.0129303445551158,0.0149775466438768,0.0168978478964163,0.0249148370116927
9606.ENSP00000290299,0.0023538201930932,0.0044782479817513,0.0067560987295109,0.0090797538682636,0.0110748796064399,0.0135048238389572,0.0155599713234551,0.0180678967317362,0.0201120235064991,0.0222154272546504
9606.ENSP00000303015,0.0024278654200315,0.0046512997250829,0.0069792750064152,0.009234562408892,0.0112762609551282,0.0135981946923493,0.0159367003807346,0.0184205911873505,0.0204528903477694,0.0226642776824519
9606.ENSP00000335632,0.0023591448079969,0.0044764726408175,0.0067555743121374,0.009062900968729,0.0109734588190804,0.0132772789725095,0.0153619277075449,0.017879807531699,0.0197440562019437,0.0218266832002882
9606.ENSP00000323967,0.0024127135930029,0.0045996323624422,0.0069462825226764,0.0092956270777904,0.0112332890635116,0.0135816557526595,0.0156971778201295,0.018229468631489,0.0201322459038237,0.0222253192382595
9606.ENSP00000230449,0.0024966977034637,0.004468170985092,0.0066532354144328,0.0087330409410242,0.0107407454365784,0.0131886232452416,0.0151883506227932,0.0189328304663831,0.0210189332487971,0.0232712043530227
9606.ENSP00000356172,0.0023755345064273,0.0051483103816281,0.0074796226581383,0.0099156260339441,0.0120155449812955,0.015890038620455,0.0183682981814854,0.0208938152945847,0.0230314499885935,0.0250834226053484
9606.ENSP00000246548,0.0025045470501936,0.0046663325529152,0.0068878149991178,0.009027825737121,0.0109591463692595,0.0133950853646638,0.0154298432985342,0.0179336843734745,0.0200416457578285,0.0223207711683244
9606.ENSP00000320485,0.0025599922155379,0.0046149759118634,0.0068625149242507,0.0090490347565719,0.0110118603397495,0.0134797474174774,0.015633874912055,0.0181825997324267,0.0204081293604758,0.0227191317399046
9606.ENSP00000229239,0.0023519537808169,0.0044971710904064,0.0067629848026626,0.0090650956854005,0.0109388913888324,0.0132549340555669,0.0152909526036637,0.0178035648564218,0.0197886454366198,0.0218406102226254
9606.ENSP00000356405,0.0023898351028037,0.0045925476733827,0.0069260691689123,0.0091595583380694,0.0111158648742275,0.0134054738273334,0.0159352638484051,0.0184581148869256,0.0205062844152053,0.0226618461501857
9606.ENSP00000378529,0.0023886887302069,0.0045227749342302,0.0068160519103912,0.0091502335844779,0.0110614155664734,0.0133795327446932,0.0154759852075585,0.0180074027366572,0.0199107736771111,0.0219908269391453
9606.ENSP00000282388,0.0023161836870713,0.0044734467483067,0.0066939569655914,0.0089364714217481,0.0108663710193468,0.013203971052917,0.0152139092401739,0.0179584972006523,0.0197810203812878,0.0217889109621864
9606.ENSP00000319664,0.0024562770668126,0.0046123060419631,0.0068517826293827,0.0089887595677282,0.0109871727399877,0.0131299756912994,0.0152082131444331,0.0177709614690684,0.0199044278542714,0.0219644008848263
9606.ENSP00000328596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9606.ENSP00000265350,0.0025585013436284,0.0047400442135767,0.0070045476650193,0.009309319652857,0.0114588051119426,0.0139702899355143,0.0161645322054937,0.019362505832305,0.0215112771134045,0.0235986717402738
9606.ENSP00000262304,0.0024019914271775,0.0044699034151562,0.0066512789103398,0.0087609679890192,0.0107047111364408,0.0127863171155695,0.0148055313461554,0.0173155595107346,0.0193956468497162,0.0215632159483902
9606.ENSP00000453281,0.0025753304289537,0.0046368735638679,0.0069176690794847,0.0090797064804064,0.0110093917755875,0.0135070426531456,0.0156035483287269,0.0181746236430626,0.020306266425905,0.0226074192978558
