protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,go_sim,sub_sim,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000347324,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032711198,0.035087719,0.026929982,0.027310924,0.049180328,0.086956522,0.012461059,0.0,0.070422535,0.002495321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.03362606,0.18376848,4.56e-06,4.217552996357802e-05,1.2899821027997716e-05,2.9974579422348325e-06,0.5962847939999439,0.0966741665041475,1,1,1,1,0,0,-51.7,51.7,0
9606.ENSP00000295208,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015618861,0.016959064,0.021543986,0.012605042,0.008196721,0.0,0.012461059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.01598739,0.236236,6.33e-06,4.917419181036523e-06,2.7043742410405123e-06,1.1527345306370648e-06,0.3849001794597505,-0.0772826176841527,1,1,1,0,0,0,-65.60000000000001,65.60000000000001,0
9606.ENSP00000343891,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002259332,0.0,0.001795332,0.0,0.0,0.0,0.0,0.0,0.0,0.001247661,0.006289308,0.0,0.0,0.0,0.0,0.0,0.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.002251745,0.083736576,1.04e-06,1.7377795856692817e-06,7.684404571198351e-07,2.309140566072237e-07,0.0,-0.0191574165483376,1,1,1,1,0,0,-73.7,73.7,0
9606.ENSP00000252997,0,0,0,0,0.173076923,0.2,0.166666667,0.0,0.083333333,0.0,0.0,0.0,0.0,0.111591356,0.158479532,0.113105925,0.075630252,0.090163934,0.0,0.037383178,0.147058824,0.0,0.012476606,0.008385744,0.0,0.079136691,0.06779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.120618479,0.29579473,0.000114943,0.0001134788687058,8.745672300594767e-05,4.768908529972582e-05,0.6666666666666666,-0.0389319234846281,1,1,1,0,0,0,-73.7,73.7,0
9606.ENSP00000348161,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,2.0664723838714737e-07,6.11317196400469e-08,1.1103875873398793e-08,0.4714045207910316,0.1056869927979208,1,1,1,1,1,0,-72.8,72.8,0
9606.ENSP00000275767,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473477,0.003508772,0.008976661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.002026571,0.09683388,3.07e-06,1.4321339721091305e-06,9.13702327487118e-07,4.284816550900991e-07,0.5,-0.0941128132383508,1,1,1,0,0,0,-64.2,64.2,0
9606.ENSP00000376417,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009823183,0.01754386,0.005385996,0.016806723,0.020491803,0.0,0.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011108609,0.2107539,5.16e-06,6.53453166245053e-06,2.8508868338317305e-06,1.028305967446291e-06,0.4714045207910316,0.0343815859047802,1,1,1,0,0,0,-69.7,69.7,0
9606.ENSP00000301887,0,0,0,0,0.076923077,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042141454,0.073099415,0.017953321,0.050420168,0.094262295,0.0,0.018691589,0.0,0.0,0.007485964,0.008385744,0.0,0.064748201,0.059322034,0.045454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.049163101,0.58947024,3.61e-05,3.6991923557293846e-05,2.5277051862250983e-05,1.2176471355097067e-05,0.2357022603955158,-0.0125001351773331,1,1,1,0,0,0,-73.7,73.7,0
9606.ENSP00000346997,0,0,0,0,0.096153846,0.066666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.187917485,0.187719298,0.314183124,0.098739496,0.114754098,0.0,0.165109034,0.014705882,0.070422535,0.014348097,0.008385744,0.022727273,0.064748201,0.025423729,0.136363636,0.0,0.0,0.0,0.00087184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.194775951,0.303857316,2.13e-05,8.03123601919496e-05,4.102640887387712e-05,1.5987327826890408e-05,0.5,-0.2050694880694058,1,1,1,0,0,0,-60.400000000000006,60.400000000000006,0
9606.ENSP00000290310,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013100437,0.01048218,0.011363636,0.021582734,0.0,0.045454545,0.0,0.0,0.0,0.006974717,0.004273504,0.0,0.009803922,0.0,0.0,0.013157895,0.0,0.0,1,0.003302559,0.187776,2.05e-06,5.620728962393429e-06,1.8596139031458475e-06,4.607267406317941e-07,0.4714045207910316,-0.1632844291571266,1,1,1,1,0,0,-73.5,73.5,0
9606.ENSP00000412064,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002946955,0.004678363,0.008976661,0.006302521,0.012295082,0.043478261,0.0,0.0,0.070422535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.004128199,0.156936696,2.56e-06,4.0494525974501834e-06,1.872247968099532e-06,5.807344951668608e-07,0.6666666666666666,-0.0391384562996842,1,1,1,1,0,0,94.8,94.8,0
9606.ENSP00000480316,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009626719,0.013450292,0.017953321,0.012605042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02179599,0.021367521,0.0,0.039215686,0.02,0.0,0.0,0.0,0.0,1,0.012985063,0.7389396,3.07e-06,7.942720542356869e-06,3.4283758355362915e-06,1.1349638111004344e-06,0.2721655269759087,0.1110661121455014,1,1,1,0,0,0,-53.3,53.3,0
9606.ENSP00000261292,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.001866405,0.001754386,0.023339318,0.00210084,0.004098361,0.0,0.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017436792,0.025641026,0.0,0.039215686,0.04,0.0,0.0,0.620689655,0.0,1,0.008031224,0.25636224,0.000165782,5.224375269732855e-05,4.1705676811902294e-05,2.2176676514789524e-05,0.0,-0.1532250577342,1,1,1,0,0,0,-73.5,73.5,0
9606.ENSP00000420487,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026620825,0.01871345,0.062836625,0.025210084,0.008196721,0.0,0.024922118,0.0,0.0,0.001247661,0.002096436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027246116,0.125607342,9.23e-07,1.7378382156693526e-05,7.073031301562716e-06,2.025075787919956e-06,0.4714045207910316,0.0,1,1,1,1,0,0,-73.7,73.7,0
9606.ENSP00000381086,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000196464,0.000584795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.000225175,0.0217242,1.05e-08,2.026283668465544e-07,6.366580318701075e-08,1.2854533501776496e-08,0.0,0.0964364162996824,1,1,1,1,0,0,-73.5,73.5,0
9606.ENSP00000424827,0,0,0,0,0.192307692,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231041257,0.285964912,0.206463196,0.319327731,0.340163934,0.391304348,0.174454829,0.117647059,0.126760563,0.032439177,0.020964361,0.034090909,0.064748201,0.059322034,0.0,0.03030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.252720859,0.69939072,0.000319285,0.0002080860873326,0.0001290377917403,6.188668595349714e-05,0.7453559924999299,0.0060495540236132,1,1,1,0,0,0,-65.0,65.0,0
9606.ENSP00000428281,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473477,0.001754386,0.003590664,0.00210084,0.0,0.0,0.0,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.00165128,0.12288276,5.07e-05,1.2311206928858976e-05,8.783860483638924e-06,3.6110463756474538e-06,0.5,-0.0196683648897131,1,1,1,1,0,0,-25.200000000000003,25.200000000000003,0
9606.ENSP00000271139,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015324165,0.014619883,0.016157989,0.008403361,0.004098361,0.0,0.003115265,0.0,0.0,0.004990643,0.008385744,0.0,0.043165468,0.0,0.0,0.045454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.016287623,0.129569664,1.37e-06,1.1085598039873014e-05,4.349493924807753e-06,1.2238224008518494e-06,0.3849001794597505,0.0230211811433667,1,1,1,1,0,0,-68.4,68.4,0
9606.ENSP00000327168,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001669941,0.001169591,0.001795332,0.004201681,0.0,0.0,0.0,0.0,0.0,0.007485964,0.01048218,0.0,0.0,0.025423729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.003152443,0.16931348,4.49e-07,8.417831738601974e-07,3.800918514376703e-07,1.195774736904092e-07,0.6666666666666666,0.0621831144766597,1,1,1,1,0,0,-68.10000000000001,68.10000000000001,0
9606.ENSP00000414237,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017288802,0.018128655,0.017953321,0.012605042,0.008196721,0.0,0.015576324,0.014705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081952921,0.055555556,0.04379562,0.039215686,0.04,0.0,0.184210526,0.0,0.021505376,1,0.028897395,0.35289744,5.16e-06,1.9233491309015227e-05,8.367091051757223e-06,2.6727635823217936e-06,0.6804138174397718,0.0478719337750626,1,1,1,0,0,0,-68.10000000000001,68.10000000000001,0
9606.ENSP00000352162,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019155206,0.012865497,0.02513465,0.046218487,0.032786885,0.0,0.009345794,0.0,0.0,0.036182158,0.012578616,0.022727273,0.086330935,0.025423729,0.0,0.015151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.025970127,0.206903088,3.12e-06,1.8600763389553663e-05,7.5464162359777615e-06,2.1790499476041804e-06,0.0,-0.0406733395367475,1,1,1,1,0,0,-73.7,73.7,0
9606.ENSP00000238892,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001964637,0.0,0.0,0.012605042,0.004098361,0.0,0.0,0.0,0.0,0.003742982,0.004192872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.002627036,0.159883776,1.23e-06,2.4708519473831983e-06,1.011600606332395e-06,2.931227649324036e-07,0.5270462766947299,0.079475443511174,1,1,1,1,0,0,-69.3,69.3,0
9606.ENSP00000370394,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010412574,0.019298246,0.003590664,0.025210084,0.008196721,0.043478261,0.003115265,0.0,0.0,0.012476606,0.004192872,0.0,0.0,0.0,0.0,0.015151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.013510471,0.19380438,3.1e-06,8.539736442612478e-06,3.332726403202996e-06,9.203612285468972e-07,0.5039526306789696,0.0099885818444732,1,1,1,1,0,0,-66.10000000000001,66.10000000000001,0
9606.ENSP00000373404,0,0,0,0,0.115384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149607073,0.089473684,0.129263914,0.081932773,0.073770492,0.086956522,0.246105919,0.044117647,0.028169014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.142385349,0.386191344,1.28e-05,9.454158893659664e-05,3.6767952181987387e-05,1.2495427731937158e-05,0.5,-0.0557773534009636,1,1,1,0,0,0,-32.6,32.6,0
9606.ENSP00000286298,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006385069,0.013450292,0.012567325,0.010504202,0.016393443,0.086956522,0.0,0.0,0.0,0.00062383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.008106282,0.2755044,6.34e-06,9.17547866758421e-06,4.134720651886445e-06,1.468579132969603e-06,0.5773502691896257,-0.089994456832659,1,1,1,0,0,0,-64.10000000000001,64.10000000000001,0
