protein,RW_20_0.1,RW_20_0.2,RW_20_0.3,RW_20_0.4,RW_20_0.5,RW_20_0.6,RW_20_0.7,RW_20_0.8,RW_20_0.9,RW_20_1.0
9606.ENSP00000372720,1.6071183267740707e-05,2.9133229872968514e-05,4.32037611517444e-05,5.425809956705052e-05,7.43571906696161e-05,8.842863826430403e-05,0.0001004898310839,0.000108527878865,0.0001225973600185,0.0001386798159046
9606.ENSP00000358565,7.240454033308197e-05,0.0001313247030338,0.0001947159757946,0.0002445501859256,0.0003351536429363,0.000398525754008,0.0004529058624029,0.0004891365206276,0.0005525944397959,0.0006250823034861
9606.ENSP00000342538,0.0004101874346815,0.0007435573807015,0.0011026275660697,0.0013847926402377,0.0018974770846398,0.0022564262599189,0.002564023807281,0.0027691394006978,0.0031282165036827,0.0035384728635108
9606.ENSP00000221200,0.0001927746370711,0.0003495021946946,0.0005182041813895,0.0006507630150736,0.0008917522854972,0.0010604583658277,0.00120506357689,0.0013014586047574,0.0014701607087772,0.0016629580395601
9606.ENSP00000254442,0.0015238675987347,0.0027608106975094,0.0040941036641015,0.0051418425427982,0.0070455178138217,0.0083775841558235,0.0095200407595257,0.0102819237072253,0.0116158946912037,0.0131386274151736
9606.ENSP00000434729,0.0007151398822315,0.0012969733870704,0.0019234167120885,0.002416073486529,0.0033104857793659,0.0039365010670735,0.0044736373565683,0.0048312139697372,0.0054573770430579,0.0061735207527817
9606.ENSP00000296980,5.6526064554418554e-05,0.0001023563315811,0.0001516288482434,0.0001903757299714,0.0002607778662877,0.0003102117282196,0.0003524539656609,0.0003806585298207,0.0004299997963244,0.0004864738757532
9606.ENSP00000263270,0.0014877456706017,0.0026980316979461,0.0040014707774389,0.00502445550228,0.0068870228933519,0.0081916559865931,0.0093088601352064,0.0100536566751543,0.0113562179467407,0.0128468241164227
9606.ENSP00000328426,0.0001766717905411,0.0003202365169272,0.0004748575183839,0.0005962912309769,0.0008171757808668,0.0009717390330479,0.0011043223103115,0.0011926512170248,0.00134720656024,0.0015243376938087
9606.ENSP00000340677,0.0003946233573515,0.0007154284267016,0.0010609587498038,0.0013325251675269,0.0018255440863867,0.0021707028063246,0.0024664356078574,0.0026638405688572,0.0030093529730947,0.0034042307561321
9606.ENSP00000272322,0.0007500032588723,0.0013580157319665,0.0020126709168835,0.0025272411367041,0.003462302734988,0.0041180054722644,0.0046790827618679,0.0050535235313873,0.0057088624926109,0.006458245741669
9606.ENSP00000309457,0.0011259386446909,0.002041245039436,0.0030270958159235,0.0038021119471522,0.0052106447037658,0.0061967063011252,0.0070423858996946,0.0076061984145781,0.0085928952976246,0.009719511392177
9606.ENSP00000262460,0.0005701412992493,0.0010333229147363,0.0015321848040912,0.001924137253809,0.0026366446872998,0.0031355417995655,0.0035630157981358,0.0038480875955428,0.0043468715521157,0.0049169254707521
9606.ENSP00000329757,0.000916092612897,0.0016615230342722,0.0024641372219775,0.0030952080342103,0.0042412317343405,0.005043414508691,0.0057315678823215,0.0061897232153569,0.0069919370544084,0.0079095348919508
9606.ENSP00000452773,0.0003204296863259,0.0005809050890093,0.0008614291182311,0.0010816079393407,0.0014818350682617,0.0017622350587771,0.0020023726137878,0.0021624284290737,0.0024424332696071,0.0027629376199911
9606.ENSP00000325681,0.0002819645014824,0.000510679299623,0.0007569544704892,0.0009504838199063,0.0013022681996517,0.0015487150412809,0.0017597614423721,0.0019005561916856,0.0021470159899763,0.0024287599426315
9606.ENSP00000261776,0.0011109894112451,0.0020126914023421,0.0029834102169843,0.0037462875116034,0.0051329789857845,0.0061046042319503,0.0069365596937132,0.0074915485602105,0.0084628350086859,0.0095733047201065
9606.ENSP00000352522,0.0013505977694876,0.0024493704040651,0.0036315416436991,0.0045602848695125,0.0062488744733855,0.0074304476001998,0.0084440772407106,0.0091193855914752,0.0103016124194255,0.0116530174345825
9606.ENSP00000417132,0.0016684699294273,0.0030249131887103,0.0044863554503535,0.0056343798714806,0.0077221139945322,0.0091820844900212,0.0104348072782158,0.0112694746785564,0.0127303824046975,0.0143992438970599
9606.ENSP00000358777,0.0008216446913138,0.0014880320886732,0.0022060496776248,0.0027704031854227,0.0037955609914206,0.0045154547951824,0.0051311288152646,0.0055420873068214,0.0062604624654341,0.0070817973319208
9606.ENSP00000289921,6.42518848508189e-05,0.0001164599175353,0.0001726802915982,0.0002168527798858,0.0002971703293042,0.0003533928384058,0.0004015867762063,0.0004337174823376,0.0004899398345514,0.0005541945893128
9606.ENSP00000316152,0.0002893889886763,0.0005247888784651,0.0007782805660099,0.0009773335677891,0.0013395067235251,0.001593119577592,0.0018103833281202,0.0019552064841263,0.0022085106265876,0.0024983575622172
9606.ENSP00000401435,0.0007074314162309,0.0012826530291931,0.0019022993510589,0.0023888061477919,0.0032740964379627,0.0038940818740229,0.0044252018997212,0.0047792333425604,0.0053986866296327,0.0061071245072525
9606.ENSP00000220509,0.0011589518107939,0.0021001729182899,0.0031142319785431,0.0039120728251873,0.0053604862696374,0.0063754755246918,0.0072447018173988,0.0078247193814604,0.0088385545168421,0.009997508910601
9606.ENSP00000335193,0.0025187705323332,0.0045642275508726,0.0067679149942705,0.008501662974595,0.0116498307470465,0.0138557899335864,0.0157451205741381,0.0170054621412418,0.0192089360934915,0.0217278035124763
9606.ENSP00000370074,0.0002896229016187,0.0005250411577435,0.0007785778852849,0.0009778166186151,0.0013397586553764,0.001593171578861,0.0018103202655765,0.0019551845289242,0.0022087161287345,0.0024985009276861
9606.ENSP00000445408,0.0018992578116012,0.0034404910547891,0.0051005136920139,0.0064048371859826,0.008776098205999,0.0104366382729494,0.0118589948178851,0.0128078102134168,0.0144686462954268,0.0163670444017043
9606.ENSP00000292430,5.685513701791933e-05,0.0001027756632083,0.0001520703144706,0.0001908454557906,0.0002612922887692,0.0003111096907559,0.000353364525381,0.0003816007674686,0.0004309953440042,0.0004875624842952
9606.ENSP00000440005,0.0043839295394718,0.0079482153814751,0.0117867179505992,0.014804506994551,0.0202894011454191,0.024128686520271,0.0274219600833021,0.0296172870148438,0.0334596722677815,0.0378467450209427
9606.ENSP00000348069,0.0011651705644908,0.0021115260024089,0.0031306274031521,0.0039314680980169,0.0053873993529123,0.0064065933329402,0.0072800551934051,0.0078625023234053,0.0088817946889321,0.0100465246141538
9606.ENSP00000385026,0.000452608715932,0.0008195040263672,0.0012136977111367,0.0015237999577948,0.0020871237593382,0.0024829931971908,0.0028209747051732,0.0030467147480521,0.0034415561240166,0.0038935801494517
9606.ENSP00000256246,5.636288915411569e-05,0.0001021194455006,0.0001513530908141,0.0001900506024412,0.0002603896548407,0.0003096941638887,0.0003518953385537,0.0003800512793077,0.0004293157769552,0.000485652805537
9606.ENSP00000325002,0.002364136671531,0.0042799905641004,0.0063427221903111,0.0079639282339485,0.0109102596907177,0.0129761163552757,0.014743589417776,0.01592342677759,0.0179885832621948,0.0203504320088541
9606.ENSP00000315130,0.0014954934013076,0.002712108878768,0.0040220549562945,0.0050507918713265,0.0069222709716996,0.008232809464971,0.0093556509673362,0.0101039734436199,0.011412903186283,0.0129108054898097
9606.ENSP00000306010,0.0037097794411238,0.0067253534507472,0.009973282838473,0.0125260634522419,0.0171625600487459,0.0204087185120442,0.0231903964013326,0.0250457570218713,0.0282940580218564,0.0320044017134932
9606.ENSP00000305459,0.00086858753275,0.0015751730425108,0.0023362835163425,0.0029336904481169,0.0040211521081801,0.0047828647657297,0.0054352284423657,0.0058700376212073,0.006630725627474,0.0075010838154412
9606.ENSP00000344299,8.848076004142058e-05,0.0001603884238647,0.0002378410604251,0.0002987052366734,0.0004092917042726,0.000486720552999,0.0005530649664251,0.0005973082843411,0.0006747638672095,0.0007632613042005
9606.ENSP00000417378,0.000916414137464,0.0016612806030025,0.0024638989234517,0.0030942642697482,0.0042403324514452,0.0050432999887561,0.0057310544470965,0.0061893548227089,0.0069919543093419,0.0079092578853305
9606.ENSP00000344431,0.0014356147803482,0.0026014015165856,0.0038578868407057,0.0048451713737449,0.0066392297012498,0.0078947281872387,0.0089713495835894,0.0096893154550343,0.0109461993633885,0.0123814130638493
9606.ENSP00000204679,0.0001928869332914,0.0003496487352094,0.0005184796355024,0.0006511299816338,0.0008922440138121,0.0010610731414999,0.0012057545636707,0.0013022158200328,0.0014710293944517,0.0016639926388961
9606.ENSP00000261318,4.0208392192653264e-05,7.286186951205309e-05,0.000108023117491,0.0001356571985979,0.0001858838063526,0.0002210630066201,0.0002512051796657,0.0002713015308017,0.0003064719890062,0.0003466719804237
9606.ENSP00000416787,0.0002254885830552,0.000408458469792,0.0006054339510228,0.0007602595615026,0.0010416360182716,0.0012389725334287,0.0014078391113798,0.0015205062409222,0.0017176097162519,0.0019430006032052
9606.ENSP00000305442,0.0009979175447369,0.0018092628379235,0.0026829538692254,0.0033699120103847,0.0046183926606317,0.005492226446222,0.0062418859743047,0.0067415913872537,0.0076163199482834,0.0086148824411793
9606.ENSP00000269221,0.0002894459485105,0.0005246406544756,0.0007779538100294,0.0009770076994755,0.0013387667659117,0.0015920194455247,0.0018090472131007,0.0019537737534847,0.0022071122948545,0.0024965581578726
9606.ENSP00000367697,0.0012546335419756,0.0022744587040506,0.0033731898656697,0.004236331784341,0.0058049661311088,0.006903730056365,0.007844948064303,0.0084724289408768,0.0095711170215508,0.0108268069525365
9606.ENSP00000369810,0.0011501581393531,0.0020849035063292,0.0030916869582142,0.003882863013132,0.0053204185314825,0.0063268860903917,0.0071893291169544,0.0077644651391892,0.0087713198372512,0.009921542055963
9606.ENSP00000454500,0.0001528758648419,0.0002771897816273,0.0004110454401597,0.0005162897168702,0.000707549512299,0.0008414175817961,0.0009562564191583,0.0010328037978979,0.001166805336652,0.0013197865337133
9606.ENSP00000363809,0.0002088597448164,0.0003788401072597,0.000562018990422,0.0007064465607982,0.0009691435679997,0.0011519330028022,0.0013084704314678,0.0014130375648164,0.0015959584379743,0.0018058018249575
9606.ENSP00000369604,0.0004334084715083,0.0007856310148781,0.0011651264321699,0.0014632398651883,0.0020053588214068,0.0023845288360462,0.0027097575475636,0.0029265177472552,0.0033059324941859,0.0037393895236164
9606.ENSP00000260386,0.0002013068005908,0.0003649708032753,0.0005412539567259,0.0006798222511861,0.0009313852033301,0.0011075262809754,0.0012584472506205,0.0013591414535767,0.0015354369043052,0.0017368185763189
