protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000366387,3.5455859688227065e-06,3.515294110911782e-06,3.514433274176554e-06
9606.ENSP00000371193,3.031407459275215e-06,3.013062041645753e-06,3.0123328542686068e-06
9606.ENSP00000349324,1.3769918041361962e-05,1.3557248166762292e-05,1.3555437362811062e-05
9606.ENSP00000255977,1.6984300600597635e-05,1.706168222881388e-05,1.706946932245046e-05
9606.ENSP00000383894,2.235955435025971e-05,2.2098231056588705e-05,2.2090231141191907e-05
9606.ENSP00000297338,0.0001268677879124,0.0001231000060215,0.0001230042980751
9606.ENSP00000302543,1.0088003364217002e-05,9.561533261148725e-06,9.54022198129678e-06
9606.ENSP00000353731,8.734506991459057e-05,8.489647007081658e-05,8.484859426971525e-05
9606.ENSP00000268281,1.019610749608546e-06,1.0046804845842416e-06,1.0041023870144272e-06
9606.ENSP00000321848,1.0975411441904726e-06,1.0089132729262928e-06,1.0044076361737098e-06
9606.ENSP00000345502,8.224641351262107e-05,8.384972170460969e-05,8.384386455873027e-05
9606.ENSP00000305696,5.958355814073002e-06,6.0222705542400945e-06,6.024547928973334e-06
9606.ENSP00000386450,1.6212192122111446e-06,1.516100041953905e-06,1.5069374512677314e-06
9606.ENSP00000362294,9.746008436195552e-05,0.0001051569197443,0.0001054193999152
9606.ENSP00000482801,3.5373386708670296e-06,3.51465700987319e-06,3.514378704494447e-06
9606.ENSP00000317686,3.551307963789441e-05,3.368547550053336e-05,3.363947325851768e-05
9606.ENSP00000333993,1.3508852134691551e-06,1.5004306987975724e-06,1.505960767644865e-06
9606.ENSP00000347197,1.4795552488067187e-05,1.4565624951501375e-05,1.4559644114342518e-05
9606.ENSP00000369530,2.348075940972194e-05,2.1623865904984996e-05,2.1589032257907093e-05
9606.ENSP00000407546,3.644960088422522e-05,3.566894156392664e-05,3.564666258171201e-05
9606.ENSP00000253270,1.0265019909638795e-06,1.004574528451485e-06,1.0041017048934009e-06
9606.ENSP00000271450,4.960130536346696e-05,4.8724672524258494e-05,4.8700116167310625e-05
9606.ENSP00000317334,0.0002133360685547,0.0002138564595952,0.0002138713025487
9606.ENSP00000309457,7.036309398245066e-05,7.030164852039889e-05,7.028884283499792e-05
9606.ENSP00000338629,3.447100243647583e-05,3.2698131690267473e-05,3.263661710661836e-05
9606.ENSP00000355986,1.8902877854998223e-05,1.808589513530023e-05,1.8074189938488416e-05
9606.ENSP00000281772,3.1255578505806625e-05,3.015354013768956e-05,3.0123685064609163e-05
9606.ENSP00000299440,4.231517596053891e-05,4.167648876318708e-05,4.167037332081236e-05
9606.ENSP00000357425,1.0074288184114266e-05,1.0040580491477158e-05,1.0041092536994256e-05
9606.ENSP00000418944,2.849538577720523e-05,2.8125357857788913e-05,2.811546801240183e-05
9606.ENSP00000429734,1.5628367009412614e-06,1.5074604107212508e-06,1.5062084912642604e-06
9606.ENSP00000319118,1.3106571714160964e-05,1.1581943908822724e-05,1.1548237125680316e-05
9606.ENSP00000386151,5.076473712506413e-07,5.023094331590983e-07,5.020527851229417e-07
9606.ENSP00000435509,4.886303941020742e-06,4.5300212150323205e-06,4.519084541243501e-06
9606.ENSP00000378733,1.02292028714146e-06,1.0044751661553164e-06,1.004082037070475e-06
9606.ENSP00000294728,3.51894814230036e-05,3.4167824196629226e-05,3.414057573536411e-05
9606.ENSP00000323645,4.562235517369118e-06,4.519840331340674e-06,4.518351033766521e-06
9606.ENSP00000309539,0.0001201958220917,0.0001204973086714,0.0001204922591568
9606.ENSP00000295728,5.633682121697348e-06,5.526116638066014e-06,5.522611445485381e-06
9606.ENSP00000422947,6.711267360515194e-06,6.5302251641696785e-06,6.526721790578449e-06
9606.ENSP00000465432,4.03557032768731e-06,4.015797912870767e-06,4.016295406472636e-06
9606.ENSP00000358999,1.5328023437177762e-06,1.5067831782289431e-06,1.506172338849865e-06
9606.ENSP00000354991,1.5131540749280248e-06,1.5063674254633952e-06,1.5061757494549963e-06
9606.ENSP00000349560,0.0001672539074206,0.0001692335499683,0.000169195322087
9606.ENSP00000357323,1.3652645066031257e-05,1.3072397450741846e-05,1.3054143892077263e-05
9606.ENSP00000314030,0.0001763241743901,0.0001796060969354,0.0001797265576897
9606.ENSP00000269878,0.0001696346880635,0.0001746535417623,0.0001747077767504
9606.ENSP00000309330,2.083222716464661e-05,1.6909732948988676e-05,1.6594078260823153e-05
9606.ENSP00000331268,0.0003169195842929,0.0003207272093277,0.0003208149282727
9606.ENSP00000468002,4.681062637246214e-05,4.620721301762387e-05,4.618891762220301e-05
9606.ENSP00000268130,2.373529423493892e-05,2.408822729194071e-05,2.4097864297800697e-05
9606.ENSP00000375809,0.0001295469264732,0.0001260725111933,0.0001260142889805
9606.ENSP00000222329,2.446894177410286e-05,2.3128033717512153e-05,2.309536466782447e-05
9606.ENSP00000298596,7.407206339848926e-06,7.034041573206196e-06,7.028957043075934e-06
9606.ENSP00000261574,0.0001651986676733,0.000163680044352,0.0001636702072573
9606.ENSP00000354919,1.0137148365174653e-06,1.0047107252830756e-06,1.004131036097533e-06
9606.ENSP00000481684,5.061611432211066e-07,5.022770324103476e-07,5.020553430767905e-07
9606.ENSP00000393559,1.6738105841795914e-05,1.657158645684831e-05,1.6567990314797498e-05
9606.ENSP00000321987,2.56569205703272e-06,2.512405671950546e-06,2.5103533971559955e-06
9606.ENSP00000268711,4.668499605031684e-05,4.420961340656504e-05,4.418037497089245e-05
9606.ENSP00000373905,0.0002410276356386,0.0002400525409029,0.0002399815712124
9606.ENSP00000255082,5.1179295041947626e-06,5.0228554755449295e-06,5.020687240175903e-06
9606.ENSP00000256497,3.8807953387731686e-05,3.8162928831297904e-05,3.815591480815783e-05
9606.ENSP00000345957,0.0002064990258077,0.0002151045919163,0.0002153672394342
9606.ENSP00000380136,0.0001834997092373,0.0001773967815097,0.000177225927473
9606.ENSP00000360806,0.000182519579539,0.0001920174108818,0.0001922772353282
9606.ENSP00000360483,4.180166433798149e-05,4.166035068919882e-05,4.166967119090259e-05
