protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000351314,16.7,1.0,298.6,1.0,-281.90000000000003,281.90000000000003,0
9606.ENSP00000481721,7.0,1.0,298.6,1.0,-291.6,291.6,0
9606.ENSP00000355053,1.9,1.0,298.6,1.0,-296.70000000000005,296.70000000000005,1
9606.ENSP00000364883,9.9,1.0,298.6,1.0,-288.70000000000005,288.70000000000005,0
9606.ENSP00000358525,1.1,1.0,298.6,1.0,-297.5,297.5,0
9606.ENSP00000367239,12.8,1.0,298.6,1.0,-285.8,285.8,0
9606.ENSP00000465638,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000275198,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000386439,8.8,1.0,298.6,1.0,-289.8,289.8,0
9606.ENSP00000227524,136.9,1.0,298.6,1.0,-161.70000000000002,161.70000000000002,0
9606.ENSP00000355923,8.1,1.0,298.6,1.0,-290.5,290.5,0
9606.ENSP00000417418,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000359958,37.5,1.0,298.6,1.0,-261.1,261.1,0
9606.ENSP00000388713,31.2,1.0,298.6,1.0,-267.40000000000003,267.40000000000003,0
9606.ENSP00000244061,66.8,1.0,298.6,1.0,-231.8,231.8,0
9606.ENSP00000369014,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000385461,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000479964,35.3,1.0,298.6,1.0,-263.3,263.3,0
9606.ENSP00000256953,0.9,1.0,298.6,1.0,-297.70000000000005,297.70000000000005,0
9606.ENSP00000298355,6.9,1.0,298.6,1.0,-291.70000000000005,291.70000000000005,0
9606.ENSP00000356540,0.3,1.0,298.6,1.0,-298.3,298.3,0
9606.ENSP00000462355,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000220420,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000265641,35.4,1.0,298.6,1.0,-263.20000000000005,263.20000000000005,0
9606.ENSP00000262551,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000426964,0.5,1.0,298.6,1.0,-298.1,298.1,0
9606.ENSP00000480043,5.4,1.0,298.6,1.0,-293.20000000000005,293.20000000000005,0
9606.ENSP00000333633,21.8,1.0,298.6,1.0,-276.8,276.8,0
9606.ENSP00000362260,2.9,1.0,298.6,1.0,-295.70000000000005,295.70000000000005,0
9606.ENSP00000362328,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000355306,17.7,1.0,298.6,1.0,-280.90000000000003,280.90000000000003,0
9606.ENSP00000255224,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000392452,8.5,1.0,298.6,1.0,-290.1,290.1,0
9606.ENSP00000385727,4.8,1.0,298.6,1.0,-293.8,293.8,0
9606.ENSP00000352182,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000311977,23.1,1.0,298.6,1.0,-275.5,275.5,0
9606.ENSP00000338671,9.4,1.0,298.6,1.0,-289.20000000000005,289.20000000000005,0
9606.ENSP00000370208,13.1,1.0,298.6,1.0,-285.5,285.5,1
9606.ENSP00000373895,0.5,1.0,298.6,1.0,-298.1,298.1,0
9606.ENSP00000477817,3.3,1.0,298.6,1.0,-295.3,295.3,0
9606.ENSP00000265097,48.8,1.0,298.6,1.0,-249.8,249.8,0
9606.ENSP00000477017,0.7,1.0,298.6,1.0,-297.90000000000003,297.90000000000003,0
9606.ENSP00000262340,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000389554,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000335006,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000360372,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000254854,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000274026,53.0,1.0,298.6,1.0,-245.6,245.6,0
9606.ENSP00000249071,0.3,1.0,298.6,1.0,-298.3,298.3,0
9606.ENSP00000361653,19.1,1.0,298.6,1.0,-279.5,279.5,0
9606.ENSP00000245312,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000377664,22.5,1.0,298.6,1.0,-276.1,276.1,0
9606.ENSP00000370621,24.2,1.0,298.6,1.0,-274.40000000000003,274.40000000000003,0
9606.ENSP00000388550,9.4,1.0,298.6,1.0,-289.20000000000005,289.20000000000005,0
9606.ENSP00000378323,36.2,1.0,298.6,1.0,-262.40000000000003,262.40000000000003,0
9606.ENSP00000287916,21.2,1.0,298.6,1.0,-277.40000000000003,277.40000000000003,0
9606.ENSP00000309439,6.2,1.0,298.6,1.0,-292.40000000000003,292.40000000000003,0
9606.ENSP00000257787,25.5,1.0,298.6,1.0,-273.1,273.1,0
9606.ENSP00000367787,31.7,1.0,298.6,1.0,-266.90000000000003,266.90000000000003,0
9606.ENSP00000362968,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000356357,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000267549,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000369989,9.6,1.0,298.6,1.0,-289.0,289.0,0
9606.ENSP00000418008,45.9,1.0,298.6,1.0,-252.7,252.7,0
9606.ENSP00000263791,20.4,1.0,298.6,1.0,-278.20000000000005,278.20000000000005,0
9606.ENSP00000235332,11.8,1.0,298.6,1.0,-286.8,286.8,0
9606.ENSP00000264690,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000221922,23.0,1.0,298.6,1.0,-275.6,275.6,0
9606.ENSP00000474412,0.3,1.0,298.6,1.0,-298.3,298.3,0
9606.ENSP00000356150,11.6,1.0,298.6,1.0,-287.0,287.0,0
9606.ENSP00000434729,124.6,1.0,298.6,1.0,-174.00000000000003,174.00000000000003,1
9606.ENSP00000373783,137.7,1.0,298.6,1.0,-160.90000000000003,160.90000000000003,0
9606.ENSP00000349709,2.5,1.0,298.6,1.0,-296.1,296.1,0
9606.ENSP00000419901,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000363680,0.4,1.0,298.6,1.0,-298.20000000000005,298.20000000000005,0
9606.ENSP00000397312,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000254928,94.9,1.0,298.6,1.0,-203.7,203.7,0
9606.ENSP00000244336,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000363398,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000332659,0.2,1.0,298.6,1.0,-298.40000000000003,298.40000000000003,0
