protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000281703,5.65448163272836e-07,2.777447153686077e-07,8.609622301132093e-08
9606.ENSP00000244217,6.551087943065803e-06,2.1954865493089224e-06,5.094373197104603e-07
9606.ENSP00000264399,2.9090566075140292e-05,1.2641294331272304e-05,4.514664581069535e-06
9606.ENSP00000311343,5.749348249795574e-05,1.9233503553503488e-05,5.165778075260395e-06
9606.ENSP00000288490,5.834426004325284e-05,3.95083331559412e-05,1.878467279922568e-05
9606.ENSP00000484431,1.5126426692381197e-05,9.862790585564382e-06,4.5056258370312624e-06
9606.ENSP00000379888,0.0001167270281241,3.873407854908567e-05,1.1021137837747663e-05
9606.ENSP00000428402,1.651350497786482e-05,1.172585034254985e-05,6.2665106994235334e-06
9606.ENSP00000362576,3.582085931609909e-05,1.4075886823081973e-05,4.6307044946480894e-06
9606.ENSP00000392371,2.381834919114648e-06,1.0279555134541416e-06,4.122851388132658e-07
9606.ENSP00000362743,1.0219189662197024e-06,4.499533113451138e-07,1.334965052078111e-07
9606.ENSP00000480336,6.835640744360467e-07,2.273957443937972e-07,5.1489938003985574e-08
9606.ENSP00000393275,8.801625357819174e-06,2.8976735729871297e-06,7.021880562591134e-07
9606.ENSP00000434552,7.683116063129418e-06,3.836115872429616e-06,1.5150496364706807e-06
9606.ENSP00000282276,1.208669283266828e-05,4.46350942896252e-06,1.1755017028201789e-06
9606.ENSP00000388320,6.665843187690373e-06,2.6084587261841565e-06,7.18211649237746e-07
9606.ENSP00000322421,7.55396731585719e-05,5.483229942080117e-05,2.750565670976581e-05
9606.ENSP00000302895,2.051325873257614e-05,1.2646579821066267e-05,5.839592938503644e-06
9606.ENSP00000463559,0.0001398795103407,8.502366765445665e-05,4.28470753834063e-05
9606.ENSP00000377617,6.5278816491271045e-06,2.242894235635926e-06,5.61961303146426e-07
9606.ENSP00000359484,3.13282308074227e-05,1.4830528520495584e-05,5.378463926782353e-06
9606.ENSP00000343690,2.6159446457107057e-05,9.874821918131492e-06,2.608617960208825e-06
9606.ENSP00000216129,1.3066800258419566e-05,5.155382207828497e-06,1.5435088886403903e-06
9606.ENSP00000442307,1.698332265791618e-05,6.281572640346789e-06,1.6467895483065394e-06
9606.ENSP00000211413,1.524374034772196e-06,6.096159465995374e-07,1.7547283932032065e-07
9606.ENSP00000434241,5.102273242267797e-05,1.4465704790526734e-05,3.131503313307167e-06
9606.ENSP00000307705,4.3010864393980814e-05,1.6264231017622582e-05,5.292561090203618e-06
9606.ENSP00000367697,8.37379027876506e-05,5.364682699526014e-05,2.4561718825771392e-05
9606.ENSP00000459533,4.0619803301575823e-05,2.743389342617651e-05,1.2208105187386154e-05
9606.ENSP00000358554,8.045567885478098e-05,3.092932030381945e-05,1.0231308289740223e-05
