,protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0
5408,9606.ENSP00000350833,5.4843226545032635e-05,0.00012073791088507121,0.00016566370571632766,0.00022956691461924558,0.00027866634187630575,0.0003212799670826647,0.00038151021600601705,0.00047095221869716803,0.0006158596173486867,0.0007237307924212441
5409,9606.ENSP00000381499,0.0004353026208067793,0.0006424808895379325,0.0008472318475860116,0.0012691144865960408,0.00280436759960287,0.0038798466936699936,0.004242962279011547,0.0044246686253306975,0.004659589086093659,0.004902432451288401
5410,9606.ENSP00000381932,0.004663874959827311,0.014957312558949476,0.022030726558960365,0.02666732575863815,0.03163543725792274,0.04093165463040643,0.049421326122836465,0.05233456840996391,0.05737143178993476,0.05981897892995661
5411,9606.ENSP00000484824,0.0057190652522780975,0.007014751856728083,0.007935807393747291,0.009041095860459203,0.010077431373538863,0.01074001529005005,0.015782065521462413,0.01683678462227993,0.017774722036883205,0.018399359747324057
5412,9606.ENSP00000439427,0.00011621011847633589,0.00020828370774617351,0.00046664590692538274,0.0005609773431848035,0.0008492298091714621,0.0009530301481458683,0.0010362239017306619,0.0011773393456999237,0.0013764789728163234,0.0014903579467507332
5413,9606.ENSP00000420333,0.002352206153182316,0.0033091258712533876,0.018832134373087245,0.020313931881931774,0.021075353498772823,0.02226608736057062,0.026038559976155198,0.02733474960314787,0.03012848743018563,0.03708974552428216
5414,9606.ENSP00000334382,0.0015972635792657367,0.00320289942688632,0.004171395381056678,0.006885568403124373,0.008412773457750154,0.009382947625775984,0.01055043784585148,0.011604511994940817,0.013075036736292577,0.014873568668925159
5415,9606.ENSP00000301744,0.00010919578322057691,0.0001765526723878413,0.00027587207392806905,0.0004274791338202623,0.0005767870505878839,0.0007076609801320206,0.0011553411390497743,0.0012713968670287562,0.001477342524327226,0.001573576381248725
5416,9606.ENSP00000308895,7.409022518242305e-05,0.0001590229414065251,0.00022997805330035733,0.000310471460388769,0.0003733735140587329,0.00042223997032780127,0.0004906985078996491,0.0005463236127714824,0.0006140743164234185,0.0006865474528536806
5417,9606.ENSP00000264613,0.0001611180049071569,0.00039983084907379543,0.000574351301799493,0.0007965161025190453,0.0009547083234709651,0.001173796807211983,0.0013182455147889957,0.0015323060394389454,0.001751859735362084,0.0019117219827001592
5418,9606.ENSP00000445929,0.00011471428227778985,0.00020723620665131967,0.00028980705300299067,0.0003802876873028652,0.0005046680378138208,0.0005799565283647236,0.0006563927439041495,0.0007305901546364616,0.0008313613457399548,0.0009073488627685009
5419,9606.ENSP00000357705,0.0005374554427581735,0.0011361546308792162,0.0019582911772405647,0.0025241113207777515,0.003025260057887819,0.0037563753811653607,0.004476162472190739,0.005092344139633417,0.0055232282804778664,0.006012776980530656
5420,9606.ENSP00000385735,2.3100996004662507e-05,3.737314983709564e-05,6.809026502073654e-05,9.538449568601461e-05,0.00011820893778995851,0.00014170940769455998,0.000158153827476897,0.0001778483882337779,0.00020141803205296334,0.00022089915295157427
5421,9606.ENSP00000368389,0.0027629833114204364,0.003582499927849212,0.0037595986587151313,0.0040338724225590225,0.004176901823990411,0.004346442554116716,0.004510890100700402,0.0064509161588076624,0.006672817535643517,0.006825481233490617
5422,9606.ENSP00000334564,0.0010464297161386384,0.007550497484574533,0.010110626890199193,0.014789339196333018,0.015578807565478444,0.018088784161945985,0.01887881731928003,0.01975393420559586,0.02109887715636114,0.02372913945446824
5423,9606.ENSP00000363064,0.00012449786306927734,0.0003170747394350226,0.0004520109695211944,0.0006013260349578444,0.0007581012927385393,0.0010968908801188993,0.0012233930289552808,0.002235330866746877,0.0024016554555998056,0.00277920030961934
5424,9606.ENSP00000269586,0.004067065668958608,0.004954274069644757,0.006836900929901431,0.009197296574985291,0.011058384125144616,0.012930448615156345,0.01571232698740129,0.01723939682180475,0.020054304171195705,0.023720320693548586
5425,9606.ENSP00000054950,0.0009409712350080536,0.0018143394417591593,0.0024686796211655384,0.005086964281957979,0.005885938617919412,0.006793527473791991,0.007727937881653091,0.009441267199595583,0.010162152541612764,0.01054377551199588
5426,9606.ENSP00000296215,0.005158509361363698,0.01172271338631581,0.014047780236202114,0.018545314379287182,0.026974230767073004,0.03580639399472897,0.03912428011327213,0.04295810707175708,0.04758912068936369,0.05064533494649953
5427,9606.ENSP00000001146,0.0005581701329962206,0.004092901202590245,0.006208901323430042,0.00676242586195042,0.007374465772927809,0.010103894972368691,0.01038904627330485,0.010638192066400504,0.011042244000429616,0.011450998917584715
5428,9606.ENSP00000264741,0.00040408332247731516,0.0031428630487263702,0.0035483717079810525,0.004595073372890107,0.005171461397686112,0.005430787502082598,0.0057336142978524,0.006028937169573813,0.006481968644508601,0.006961802742096143
5429,9606.ENSP00000242591,0.0005576953504242089,0.001255347865330102,0.0017244969915035462,0.0024127373660622546,0.003854425431658217,0.004342497568259645,0.00492419280037312,0.005409986971341621,0.006128397371983421,0.006755646413779241
5430,9606.ENSP00000301761,0.00020303210688276885,0.0004334931787213552,0.0007014563044859981,0.0009453390722060435,0.0011682172357825996,0.0014236373565585042,0.0019228565973787271,0.002212488401367171,0.002481212174752567,0.0029495318195275947
5431,9606.ENSP00000341610,0.013817018085470496,0.015092554230335481,0.01770308808360103,0.019642198550335607,0.02237943905108851,0.023604415526887794,0.024406324280899557,0.026147779552638993,0.027144386502152878,0.029401460363777665
5432,9606.ENSP00000209718,4.035600197366966e-05,7.720728203287715e-05,0.00011504701048021709,0.00015373231276913872,0.0014289239556366873,0.0016045429773721958,0.0016818055672132464,0.001716264998596132,0.0018394419322479314,0.0018866338587031491
5433,9606.ENSP00000337363,0.00014989007386816735,0.0002675485800123727,0.0005083455517590707,0.0006629294462197371,0.0007689216518305074,0.000906661274019024,0.000983278071858398,0.001030215392468469,0.0013243720027124558,0.00151784766464873
5434,9606.ENSP00000359552,0.0009984891272163854,0.002940931082192479,0.005811094024191414,0.013901667591234566,0.01603102193465629,0.017962844220474537,0.020162942289593346,0.02141393548884997,0.023555289080261582,0.025648040097335786
5435,9606.ENSP00000333395,6.949261585432068e-05,0.00013973530811982617,0.00027203155957765564,0.0009699542900762255,0.0010601079256404976,0.001157031486058165,0.001249558044668766,0.00133116715281973,0.0014104288529367304,0.0014753598546407985
5436,9606.ENSP00000371084,0.0003946260607300565,0.0006841341352041047,0.0011077690268483228,0.0015483076343809788,0.002643769400830905,0.0029779595735809667,0.0033635156037274687,0.008444160766377063,0.008792325399625295,0.009221025803575547
5437,9606.ENSP00000379475,0.005575882814868076,0.007760473507790227,0.012116325189890472,0.0167449760051445,0.02114185347661379,0.029402335630444344,0.038128177801473755,0.047037002664072375,0.05289766955083949,0.05599555661474691
