protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000222248,2.2772928787162527e-06,2.178652266593417e-06,2.172126869481872e-06
9606.ENSP00000249749,4.273473678040318e-05,3.658118657767773e-05,3.6386398278409615e-05
9606.ENSP00000005178,0.0001293511304538,0.0001173058844869,0.000116761882964
9606.ENSP00000342626,4.7990004532039165e-05,4.831479236599989e-05,4.832209015148692e-05
9606.ENSP00000458977,1.703556699794717e-05,1.4700002793688329e-05,1.4661156455986202e-05
9606.ENSP00000366410,3.110931720584631e-05,3.252624810556881e-05,3.2575579098192975e-05
9606.ENSP00000305899,4.2094070522580296e-05,4.08251908083912e-05,4.072641604579985e-05
9606.ENSP00000263708,5.288019747240469e-05,4.689651177613996e-05,4.670281850849278e-05
9606.ENSP00000367848,3.0371676984941587e-05,2.689274879230652e-05,2.6619423806550913e-05
9606.ENSP00000435954,0.0001507541019236,0.0001685964525677,0.0001693650265224
9606.ENSP00000290349,3.820575147983618e-05,3.75122508557979e-05,3.746653237612918e-05
9606.ENSP00000261714,3.479764927760698e-05,3.475955963949673e-05,3.47494387824554e-05
9606.ENSP00000377895,9.180124834529124e-06,9.227386726706754e-06,9.2301288532326e-06
9606.ENSP00000269214,2.9957282094983384e-05,3.195910539943725e-05,3.2031450245995075e-05
9606.ENSP00000416515,3.927077341359109e-05,3.807203029282391e-05,3.801018465310335e-05
9606.ENSP00000308351,5.103659714222886e-05,4.741101656691171e-05,4.724476457340643e-05
9606.ENSP00000361499,2.9536537113017403e-05,2.623976433824282e-05,2.6071033062180504e-05
9606.ENSP00000246337,1.3033391041972209e-05,1.30329754028935e-05,1.3031132766627708e-05
9606.ENSP00000432816,1.0879120964091271e-06,1.0849797718037737e-06,1.0858340147024137e-06
9606.ENSP00000325355,5.3964609833201393e-05,5.281194535200484e-05,5.267455708235502e-05
9606.ENSP00000390932,9.700257942313328e-05,0.0001054285748978,0.0001058553025359
9606.ENSP00000482410,6.040452717570588e-06,5.975234216748504e-06,5.972538019705098e-06
9606.ENSP00000370395,0.0001474478194722,0.0001466461981181,0.0001465997193008
9606.ENSP00000052754,0.0001356003049295,0.000131247594254,0.0001313859247602
9606.ENSP00000351147,3.446609844104387e-05,3.580342308850959e-05,3.583369107218459e-05
