protein,shortest_path_length,label
9606.ENSP00000323264,-3,0.0
9606.ENSP00000008391,-3,0.0
9606.ENSP00000260643,-3,1.0
9606.ENSP00000302485,-3,0.0
9606.ENSP00000255226,-3,0.0
9606.ENSP00000342002,-3,0.0
9606.ENSP00000232496,-3,0.0
9606.ENSP00000366095,-3,0.0
9606.ENSP00000357750,-3,0.0
9606.ENSP00000483791,-6,0.0
9606.ENSP00000235933,-3,0.0
9606.ENSP00000344791,-3,0.0
9606.ENSP00000367316,-6,0.0
9606.ENSP00000379658,-3,0.0
9606.ENSP00000467423,-2,1.0
9606.ENSP00000331845,-3,0.0
9606.ENSP00000297258,-2,0.0
9606.ENSP00000351706,-3,0.0
9606.ENSP00000397073,-3,0.0
9606.ENSP00000266517,-3,0.0
9606.ENSP00000232461,-3,0.0
9606.ENSP00000301522,-2,0.0
9606.ENSP00000216286,-6,0.0
9606.ENSP00000253462,-3,0.0
9606.ENSP00000280701,-3,0.0
9606.ENSP00000318197,-3,0.0
9606.ENSP00000215980,-3,0.0
9606.ENSP00000316377,-3,0.0
9606.ENSP00000261758,-2,1.0
9606.ENSP00000296343,-3,0.0
9606.ENSP00000264360,-6,0.0
9606.ENSP00000365441,-3,0.0
9606.ENSP00000235521,-3,0.0
9606.ENSP00000370745,-2,0.0
9606.ENSP00000393453,-6,0.0
9606.ENSP00000273861,-4,0.0
9606.ENSP00000221086,-3,0.0
9606.ENSP00000359423,-3,0.0
9606.ENSP00000209728,-3,0.0
9606.ENSP00000244565,-3,0.0
9606.ENSP00000353245,-3,0.0
9606.ENSP00000263960,-3,0.0
9606.ENSP00000301258,-6,0.0
9606.ENSP00000322915,-3,0.0
9606.ENSP00000367028,-3,0.0
9606.ENSP00000335628,-3,0.0
9606.ENSP00000368538,-3,0.0
9606.ENSP00000040877,-3,0.0
9606.ENSP00000393241,-3,0.0
9606.ENSP00000302836,-3,0.0
9606.ENSP00000394049,-3,0.0
9606.ENSP00000221978,-3,0.0
9606.ENSP00000477590,-3,0.0
9606.ENSP00000357474,-3,0.0
9606.ENSP00000389255,-3,0.0
9606.ENSP00000221543,-2,0.0
9606.ENSP00000279392,-3,0.0
9606.ENSP00000081029,-3,0.0
9606.ENSP00000321427,-3,0.0
9606.ENSP00000357682,-3,0.0
9606.ENSP00000429473,-3,0.0
9606.ENSP00000341944,-3,0.0
9606.ENSP00000419449,-3,0.0
9606.ENSP00000223095,-2,0.0
9606.ENSP00000435460,-3,0.0
9606.ENSP00000284818,-3,0.0
9606.ENSP00000253807,-3,0.0
9606.ENSP00000359292,-3,0.0
9606.ENSP00000380131,-3,0.0
9606.ENSP00000356410,-3,0.0
9606.ENSP00000255389,-3,0.0
9606.ENSP00000380877,-3,0.0
9606.ENSP00000378570,-3,0.0
9606.ENSP00000296513,-3,0.0
9606.ENSP00000308873,-3,0.0
9606.ENSP00000377372,-3,0.0
9606.ENSP00000434655,-3,0.0
9606.ENSP00000393333,-3,0.0
9606.ENSP00000345333,-3,0.0
9606.ENSP00000376103,-3,0.0
9606.ENSP00000372005,-3,0.0
9606.ENSP00000265872,-2,0.0
9606.ENSP00000296575,-3,0.0
9606.ENSP00000341680,-3,0.0
9606.ENSP00000354376,-3,0.0
9606.ENSP00000264497,-3,0.0
9606.ENSP00000370761,-3,0.0
9606.ENSP00000355904,-2,0.0
9606.ENSP00000360525,-2,0.0
