protein,RWR_positive_0.6_0.1,RWR_positive_0.6_0.2,RWR_positive_0.6_0.3,RWR_positive_0.6_0.4,RWR_positive_0.6_0.5,RWR_positive_0.6_0.6,RWR_positive_0.6_0.7,RWR_positive_0.6_0.8,RWR_positive_0.6_0.9,RWR_positive_0.6_1.0,Target,label
9606.ENSP00000292147,1.4176877989624596e-05,1.7591872387041785e-05,1.9500876690500672e-05,4.022063199716423e-05,4.022063199716423e-05,4.022063199716423e-05,4.022063199716423e-05,4.022063199716423e-05,0.0032675350852883,0.0032778860394936,9606.ENSP00000358840,0
9606.ENSP00000379563,3.514376221578711e-05,4.552631804551615e-05,5.08519802305169e-05,5.495133907858713e-05,5.495133907858713e-05,5.495133907858713e-05,5.495133907858713e-05,5.495133907858713e-05,8.423890749688817e-05,0.000111683894263,9606.ENSP00000358840,0
9606.ENSP00000407560,1.5153504900506084e-07,2.523844577944836e-07,7.728478862659106e-07,9.166022808907548e-07,9.166022808907548e-07,9.166022808907548e-07,9.166022808907548e-07,9.166022808907548e-07,1.1440258908224951e-06,1.6827834648359355e-06,9606.ENSP00000358840,1
9606.ENSP00000360541,5.6120147474431326e-05,6.857333434158698e-05,7.520398283992483e-05,9.216499016956604e-05,9.216499016956604e-05,9.216499016956604e-05,9.216499016956604e-05,9.216499016956604e-05,0.0001572905173242,0.0002121572740813,9606.ENSP00000358840,0
9606.ENSP00000263774,0.0026981834031596,0.0030137863491233,0.0032077885967924,0.003247132075572,0.003247132075572,0.003247132075572,0.003247132075572,0.003247132075572,0.0033570486062147,0.0100182749662636,9606.ENSP00000358840,0
9606.ENSP00000357535,3.989717070129743e-05,0.0001018647175574,0.0001386157661086,0.0002175004505487,0.0002175004505487,0.0002175004505487,0.0002175004505487,0.0002175004505487,0.0003458022922355,0.0004743647161886,9606.ENSP00000358840,0
9606.ENSP00000346173,7.880738311410586e-05,0.0002479595917932,0.0003231171009582,0.0003661153984774,0.0003661153984774,0.0003661153984774,0.0003661153984774,0.0003661153984774,0.0004511589140911,0.0006702584880532,9606.ENSP00000358840,0
9606.ENSP00000346255,4.204254307400902e-05,0.0001184005164074,0.000126363528893,0.0001377490985246,0.0001377490985246,0.0001377490985246,0.0001377490985246,0.0001377490985246,0.0001738835184247,0.0002771336884444,9606.ENSP00000358840,1
9606.ENSP00000371586,3.698146140582881e-06,6.262578586678733e-06,7.1424432739245595e-06,8.462211072274899e-06,8.462211072274899e-06,8.462211072274899e-06,8.462211072274899e-06,8.462211072274899e-06,1.2086714575664422e-05,1.5753350389085788e-05,9606.ENSP00000358840,0
9606.ENSP00000322316,5.042852919580404e-05,0.000199088195122,0.0002097619876187,0.000216619589983,0.000216619589983,0.000216619589983,0.000216619589983,0.000216619589983,0.000275257488421,0.0006949568771671,9606.ENSP00000358840,1
9606.ENSP00000258080,0.0001046856585161,0.000120287983779,0.000128398554624,0.0001437359807862,0.0001437359807862,0.0001437359807862,0.0001437359807862,0.0001437359807862,0.0001697074119541,0.000251269982259,9606.ENSP00000358840,0
9606.ENSP00000320043,5.7069012093414856e-06,1.2865674327197587e-05,1.5302524475487207e-05,5.8596668938444126e-05,5.8596668938444126e-05,5.8596668938444126e-05,5.8596668938444126e-05,5.8596668938444126e-05,6.183993063764055e-05,8.232582101837176e-05,9606.ENSP00000358840,0
9606.ENSP00000384867,1.7674342652698435e-05,2.1003490162564853e-05,2.2845896452475337e-05,2.426921798862105e-05,2.426921798862105e-05,2.426921798862105e-05,2.426921798862105e-05,2.426921798862105e-05,2.6688659049808297e-05,6.790853325110358e-05,9606.ENSP00000358840,0
9606.ENSP00000366939,4.223982054305421e-06,7.801140322066492e-06,9.244225702015196e-06,1.0041293170649914e-05,1.0041293170649914e-05,1.0041293170649914e-05,1.0041293170649914e-05,1.0041293170649914e-05,1.1149978517020918e-05,4.699565404048579e-05,9606.ENSP00000358840,0
9606.ENSP00000355467,1.3315475011320929e-05,1.610485968618709e-05,1.8409739607726764e-05,2.028528274960849e-05,2.028528274960849e-05,2.028528274960849e-05,2.028528274960849e-05,2.028528274960849e-05,0.0001133323214311,0.0001241508715727,9606.ENSP00000358840,0
9606.ENSP00000341213,2.3889799416482577e-05,2.6511266574611788e-05,2.735617865572304e-05,2.81908768141337e-05,2.81908768141337e-05,2.81908768141337e-05,2.81908768141337e-05,2.81908768141337e-05,5.443899818155937e-05,5.993488978084274e-05,9606.ENSP00000358840,0
9606.ENSP00000308515,1.2288059850622564e-05,1.4275869781795529e-05,1.6621316588606766e-05,1.876480194280974e-05,1.876480194280974e-05,1.876480194280974e-05,1.876480194280974e-05,1.876480194280974e-05,5.0278765214481497e-05,6.712355578697719e-05,9606.ENSP00000358840,0
9606.ENSP00000264451,8.121133425549076e-06,9.357154288233848e-06,1.1833390547376148e-05,1.2502458279888008e-05,1.2502458279888008e-05,1.2502458279888008e-05,1.2502458279888008e-05,1.2502458279888008e-05,1.9956046965313772e-05,3.27891631766098e-05,9606.ENSP00000358840,1
