protein,RW_target_10,RW_target_20,RW_target_30,Target,label
9606.ENSP00000238561,2.058037352981046e-05,1.7203448805958033e-05,1.712019911792595e-05,9606.ENSP00000264932,0
9606.ENSP00000386543,1.4402117813006043e-05,1.3045037121628413e-05,1.3010580005357042e-05,9606.ENSP00000264932,1
9606.ENSP00000317379,4.8109264753293246e-05,4.192428968963213e-05,4.17719165852759e-05,9606.ENSP00000264932,0
9606.ENSP00000355741,5.599032374448143e-05,4.7457921027671546e-05,4.725094186142087e-05,9606.ENSP00000264932,0
9606.ENSP00000327070,0.0002131228102371,0.0001808841479942,0.0001801011239876,9606.ENSP00000264932,0
9606.ENSP00000469981,5.7574670790927485e-05,5.552465154323727e-05,5.546403554035351e-05,9606.ENSP00000264932,0
9606.ENSP00000337358,1.603183955012355e-05,1.4420150364458095e-05,1.4380157153937034e-05,9606.ENSP00000264932,0
9606.ENSP00000370882,9.190240234602244e-05,6.90410888637416e-05,6.84861806803383e-05,9606.ENSP00000264932,0
9606.ENSP00000354415,2.9444641768350263e-05,2.744245284702629e-05,2.7390193281462416e-05,9606.ENSP00000264932,0
9606.ENSP00000037869,2.99899675155757e-05,2.4779570594546385e-05,2.4653118089190684e-05,9606.ENSP00000264932,0
9606.ENSP00000317159,0.0002502268762327,0.0001617295347386,0.0001595941139385,9606.ENSP00000264932,0
9606.ENSP00000326219,0.0001009930856525,8.66348491399549e-05,8.628343493910506e-05,9606.ENSP00000264932,0
9606.ENSP00000364204,0.0001108064388972,0.0001089238357963,0.0001088719218387,9606.ENSP00000264932,0
9606.ENSP00000235329,0.0001039580602082,0.000101422156149,0.0001013413493637,9606.ENSP00000264932,0
9606.ENSP00000236980,2.1529478544835e-05,2.056829362118151e-05,2.0542303900583647e-05,9606.ENSP00000264932,0
9606.ENSP00000379047,1.3120013136358466e-05,1.2341950423433444e-05,1.2325263924140016e-05,9606.ENSP00000264932,0
9606.ENSP00000354223,4.7121342504397035e-05,2.853196747309994e-05,2.808474346238654e-05,9606.ENSP00000264932,0
9606.ENSP00000396954,1.9579309082473628e-05,1.9174805856891908e-05,1.9171940948581323e-05,9606.ENSP00000264932,1
9606.ENSP00000258955,2.7070780106441816e-06,2.737613613135182e-06,2.738833245530259e-06,9606.ENSP00000264932,0
9606.ENSP00000262507,0.0002041299012489,0.0001572859473526,0.0001561456592753,9606.ENSP00000264932,0
9606.ENSP00000436773,1.12842444650596e-05,1.1627954336290712e-05,1.1639878721325658e-05,9606.ENSP00000264932,0
9606.ENSP00000305138,1.5545820133411326e-05,1.5743407857371494e-05,1.574842281115707e-05,9606.ENSP00000264932,0
9606.ENSP00000265070,0.0001158396917162,0.0001130813398049,0.0001129821102949,9606.ENSP00000264932,0
9606.ENSP00000285083,2.024808418354951e-05,1.853114372352138e-05,1.8488548448658548e-05,9606.ENSP00000264932,0
9606.ENSP00000312770,3.3639337289059767e-06,3.4219583540107124e-06,3.423555654080701e-06,9606.ENSP00000264932,0
9606.ENSP00000361993,4.3227551941527054e-05,3.779332837439142e-05,3.76627613150049e-05,9606.ENSP00000264932,0
9606.ENSP00000446252,0.0001720445143291,0.0001625378354219,0.0001622857234906,9606.ENSP00000264932,0
9606.ENSP00000417190,2.1741227101301774e-05,2.056849916698411e-05,2.0542211132124063e-05,9606.ENSP00000264932,0
