protein,RW_positive_20_0.1,RW_positive_20_0.2,RW_positive_20_0.3,RW_positive_20_0.4,RW_positive_20_0.5,RW_positive_20_0.6,RW_positive_20_0.7,RW_positive_20_0.8,RW_positive_20_0.9,RW_positive_20_1.0,Target,label
9606.ENSP00000384867,1.9295430320198648e-05,1.9295430320198648e-05,1.9295430320198648e-05,1.9295430320198648e-05,1.9295430320198648e-05,3.84416871384019e-05,3.84416871384019e-05,3.84416871384019e-05,5.7635434131952934e-05,5.7635434131952934e-05,9606.ENSP00000301587,0
9606.ENSP00000366939,1.0989319889631588e-05,1.0989319889631588e-05,1.0989319889631588e-05,1.0989319889631588e-05,1.0989319889631588e-05,2.194596436311258e-05,2.194596436311258e-05,2.194596436311258e-05,3.290789118182147e-05,3.290789118182147e-05,9606.ENSP00000301587,0
9606.ENSP00000355467,2.4689688871148977e-05,2.4689688871148977e-05,2.4689688871148977e-05,2.4689688871148977e-05,2.4689688871148977e-05,4.93627339892555e-05,4.93627339892555e-05,4.93627339892555e-05,7.401862239930779e-05,7.401862239930779e-05,9606.ENSP00000301587,0
9606.ENSP00000341213,8.959184015111532e-06,8.959184015111532e-06,8.959184015111532e-06,8.959184015111532e-06,8.959184015111532e-06,1.788400095392717e-05,1.788400095392717e-05,1.788400095392717e-05,2.679454701137729e-05,2.679454701137729e-05,9606.ENSP00000301587,0
9606.ENSP00000308515,2.0577288523782045e-05,2.0577288523782045e-05,2.0577288523782045e-05,2.0577288523782045e-05,2.0577288523782045e-05,4.114992407266982e-05,4.114992407266982e-05,4.114992407266982e-05,6.169592779770028e-05,6.169592779770028e-05,9606.ENSP00000301587,0
9606.ENSP00000264451,1.2350948054518083e-05,1.2350948054518083e-05,1.2350948054518083e-05,1.2350948054518083e-05,1.2350948054518083e-05,2.4685458811291028e-05,2.4685458811291028e-05,2.4685458811291028e-05,3.7014457120676525e-05,3.7014457120676525e-05,9606.ENSP00000301587,0
9606.ENSP00000260953,6.8525532697094604e-06,6.8525532697094604e-06,6.8525532697094604e-06,6.8525532697094604e-06,6.8525532697094604e-06,1.3700834642804692e-05,1.3700834642804692e-05,1.3700834642804692e-05,2.054903097814531e-05,2.054903097814531e-05,9606.ENSP00000301587,0
9606.ENSP00000418008,0.0002232127008028,0.0002232127008028,0.0002232127008028,0.0002232127008028,0.0002232127008028,0.0002232127008028,0.0002232127008028,0.0002232127008028,0.0003348852042108,0.0003348852042108,9606.ENSP00000301587,0
9606.ENSP00000371607,4.526273551164195e-05,4.526273551164195e-05,4.526273551164195e-05,4.526273551164195e-05,4.526273551164195e-05,4.526273551164195e-05,4.526273551164195e-05,4.526273551164195e-05,6.786036101402715e-05,6.786036101402715e-05,9606.ENSP00000301587,0
9606.ENSP00000401980,0.0002398047072347,0.0002398047072347,0.0002398047072347,0.0002398047072347,0.0002398047072347,0.0002398047072347,0.0002398047072347,0.0002398047072347,0.0003596377573558,0.0003596377573558,9606.ENSP00000301587,0
