protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,Target,label
9606.ENSP00000428263,3.659943300518229e-06,1.8945490686923473e-06,6.22957984319812e-07,9606.ENSP00000264932,0
9606.ENSP00000288111,4.810791020350426e-05,2.910084223232068e-05,1.257385372977403e-05,9606.ENSP00000264932,0
9606.ENSP00000216254,0.0011552897738528,0.0013749598228602,0.0011818249841334,9606.ENSP00000264932,0
9606.ENSP00000387262,0.0003437340880361,0.0002812217789328,0.0001554043508143,9606.ENSP00000264932,0
9606.ENSP00000368318,2.5529687813741606e-05,1.447270466343385e-05,5.979857225290233e-06,9606.ENSP00000264932,0
9606.ENSP00000273986,0.0001945760973017,0.0001651028537033,9.09115346210518e-05,9606.ENSP00000264932,0
9606.ENSP00000264093,0.0011565492797468,0.0013995419118946,0.0011997466699138,9606.ENSP00000264932,1
9606.ENSP00000315118,7.335158218854482e-05,5.4096828531169133e-05,2.6711655409147885e-05,9606.ENSP00000264932,0
9606.ENSP00000264193,4.757181247643601e-05,3.280523337689125e-05,1.6806695044851288e-05,9606.ENSP00000264932,0
9606.ENSP00000302037,1.8274889363178658e-05,1.02420592952908e-05,4.1559080220219695e-06,9606.ENSP00000264932,0
9606.ENSP00000301329,0.0006882365397889,0.0009873912231101,0.0009683851919188,9606.ENSP00000264932,0
9606.ENSP00000481127,1.6939843694066029e-06,7.012423867765787e-07,2.0451656494681818e-07,9606.ENSP00000264932,0
9606.ENSP00000273968,3.571798617891412e-06,1.609569957795562e-06,5.066600613184964e-07,9606.ENSP00000264932,0
9606.ENSP00000267103,3.238929957971533e-05,2.0393382074869836e-05,9.39015115519127e-06,9606.ENSP00000264932,0
9606.ENSP00000351214,5.50983989658505e-05,3.884541203641986e-05,1.854458834491935e-05,9606.ENSP00000264932,0
9606.ENSP00000263702,3.83838488443143e-05,2.865809787680315e-05,1.539532818606217e-05,9606.ENSP00000264932,1
9606.ENSP00000403987,1.0293327788069528e-06,4.670105773566784e-07,1.5345028834070969e-07,9606.ENSP00000264932,0
9606.ENSP00000406933,1.6825748774108027e-05,1.0897526316852386e-05,5.029451112977219e-06,9606.ENSP00000264932,0
9606.ENSP00000317177,9.471825829281308e-06,4.245184426474842e-06,1.2963935669729695e-06,9606.ENSP00000264932,0
9606.ENSP00000441065,3.857289804294668e-05,2.5079645277479868e-05,1.1600597203025565e-05,9606.ENSP00000264932,0
9606.ENSP00000360268,9.066108646321708e-05,6.130093392757233e-05,3.098681912855476e-05,9606.ENSP00000264932,0
9606.ENSP00000288532,8.767541654246095e-05,7.33300105111673e-05,4.068051636527274e-05,9606.ENSP00000264932,0
9606.ENSP00000429168,1.990570909401227e-05,1.547992391494219e-05,8.140055529214056e-06,9606.ENSP00000264932,0
9606.ENSP00000238561,2.431391258331534e-05,1.5593443763623458e-05,6.645727785484984e-06,9606.ENSP00000264932,0
9606.ENSP00000386543,2.100126968226741e-05,1.6391185959659814e-05,8.766845578722837e-06,9606.ENSP00000264932,1
9606.ENSP00000317379,7.55349658837257e-05,6.0350450439688075e-05,3.299446814236936e-05,9606.ENSP00000264932,0
9606.ENSP00000355741,6.265155210789078e-05,3.9601319559393706e-05,1.677680582920506e-05,9606.ENSP00000264932,0
9606.ENSP00000327070,0.0010151850480032,0.0012584854588181,0.00111733755282,9606.ENSP00000264932,0
