protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0,Target,label
9606.ENSP00000366939,3.5635377974822705e-05,0.0001646562034873,0.0001596099199078,0.0001912845898657,0.0002310773709625,0.0002893222913448,0.0003004686643292,0.0003062532847323,0.0003249476494794,0.0003432719274461,9606.ENSP00000268379,0
9606.ENSP00000355467,5.568826145146216e-05,0.000164543700768,0.0003129897685497,0.0003772804086476,0.0004154100669748,0.0015677549048588,0.0016025098958618,0.0016512669594643,0.0017010680034562,0.0017707308660156,9606.ENSP00000268379,0
9606.ENSP00000341213,6.761391784893659e-05,0.0001151212190427,0.0001223300278697,0.0001942431803956,0.0002085173872296,0.0002408604188047,0.0002520035555624,0.0002560429784103,0.0003090007258735,0.0004320625375758,9606.ENSP00000268379,0
9606.ENSP00000308515,4.151925873514047e-05,6.329963877235609e-05,0.0001135046325248,0.0001537367226461,0.0001781244539053,0.0013038977503743,0.0013163456787838,0.0013286719424308,0.00135797506026,0.0014094883237312,9606.ENSP00000268379,1
9606.ENSP00000264451,2.213802340453854e-05,3.5791616528592796e-05,4.5542190251199376e-05,7.45036308366465e-05,8.946724735946808e-05,0.0001091169200385,0.0001175351905579,0.0001225894134623,0.000140336903147,0.0001564773698755,9606.ENSP00000268379,1
9606.ENSP00000260953,9.885634318128218e-06,2.0781895502567797e-05,2.1823836332334747e-05,4.235494774617363e-05,0.0001489464434934,0.0001593457292648,0.0001635084366706,0.0001685669729931,0.0001724524243212,0.0001766197092709,9606.ENSP00000268379,1
9606.ENSP00000418008,0.0001226087987782,0.000847046957503,0.0138405986777157,0.0140741116750564,0.0142210860445473,0.0142771309093681,0.0144151726279819,0.0145110173222294,0.0152996903429899,0.0155017978463878,9606.ENSP00000268379,1
9606.ENSP00000371607,0.000211797877352,0.0003249464195501,0.0004408406025373,0.0004948000226495,0.0005177585486886,0.0006291564583132,0.0006857234543058,0.0006978109140038,0.0007710533560258,0.0008030626281999,9606.ENSP00000268379,0
9606.ENSP00000401980,0.0002764361770221,0.0006007283709326,0.0009208764454071,0.00110189315594,0.0011938475100411,0.0012973214029395,0.0026379774180809,0.0038775999803785,0.0040925123718193,0.0043300083611548,9606.ENSP00000268379,0
9606.ENSP00000328570,0.000191819472001,0.0006250660351895,0.0009762339074687,0.0010727412014689,0.001191953910537,0.001316234484989,0.0026139140937363,0.0028218264276219,0.0031596057522091,0.0034074396130996,9606.ENSP00000268379,0
9606.ENSP00000359675,4.7243177210557536e-05,0.0001020089246535,0.0004057350117958,0.0005156850169185,0.0005345688743126,0.000587760942536,0.0017518393589435,0.0018126876585237,0.00188746384469,0.0020855561375508,9606.ENSP00000268379,0
9606.ENSP00000308610,0.0001958739523727,0.0003308993082087,0.0005485940576078,0.0006043486114687,0.0006683386033566,0.0007338743855359,0.001954222902793,0.0020123082023128,0.0021862881324457,0.0024130945950043,9606.ENSP00000268379,0
9606.ENSP00000085068,0.0001049830547689,0.0002459514717749,0.00041108468461,0.0004612224793186,0.0005312880211549,0.0006999079832617,0.001202977205647,0.0012443646515766,0.0014361813077419,0.0015917263799804,9606.ENSP00000268379,0
9606.ENSP00000389903,3.5715549445915136e-05,8.389261406975117e-05,0.0001444426313409,0.000161881916709,0.0001679507811004,0.0001762853719506,0.0002161473847185,0.000233052291981,0.000250209184783,0.0002747528946698,9606.ENSP00000268379,0
9606.ENSP00000245816,7.91135728498535e-05,0.000232883399045,0.0004791718693056,0.0005535172598132,0.0006638409629756,0.0006918191144269,0.0007743717807902,0.0009096760752333,0.0011511089974274,0.0012235207878632,9606.ENSP00000268379,0
9606.ENSP00000238379,5.110030644789689e-05,0.0001402749360481,0.0002294502245348,0.0002791619913047,0.0003576748126789,0.0004283207109671,0.0005436800134975,0.0005851456997776,0.0007174671963039,0.0007627702335679,9606.ENSP00000268379,1
9606.ENSP00000310873,0.0002394135882447,0.0003882588467054,0.0123070940391421,0.0124726680054603,0.0156914866698167,0.015785474964712,0.0161430996629435,0.0199324145731159,0.0301782180696247,0.030312373276879,9606.ENSP00000268379,0
9606.ENSP00000428263,1.0065954214935052e-05,3.5366781294343505e-05,4.477791223073442e-05,9.279325357153488e-05,9.625088306973732e-05,0.0001577918389986,0.0002124638088931,0.0002191193342436,0.0002312026070536,0.0002363010229691,9606.ENSP00000268379,1
9606.ENSP00000288111,7.023282411934732e-05,0.0002061324432407,0.0004723199292378,0.0005011340543056,0.0005656803578564,0.0006092046338668,0.0055255357314999,0.0055858712408793,0.0057481628562083,0.0058814598500992,9606.ENSP00000268379,1
