protein,RW_positive_30_0.1,RW_positive_30_0.2,RW_positive_30_0.3,RW_positive_30_0.4,RW_positive_30_0.5,RW_positive_30_0.6,RW_positive_30_0.7,RW_positive_30_0.8,RW_positive_30_0.9,RW_positive_30_1.0,Target,label
9606.ENSP00000258080,0.0003314162240712,0.0003314162240712,0.0004971269008819,0.0005799763093818,0.0008285233561764,0.0008285233561764,0.0009942282922565,0.001077079999959,0.0011599337303778,0.0014084901922615,9606.ENSP00000276689,0
9606.ENSP00000320043,9.86049199127592e-05,9.86049199127592e-05,0.0001479085130995,0.0001725576930766,0.0002465045909048,0.0002465045909048,0.0002958055847557,0.0003204558379366,0.0003451068969297,0.0004190580857539,9606.ENSP00000276689,0
9606.ENSP00000384867,7.669604929105844e-05,7.669604929105844e-05,0.0001150440984929,0.0001342194263997,0.0001917422687256,0.0001917422687256,0.0002300912019563,0.0002492636594979,0.0002684371829673,0.0003259611949033,9606.ENSP00000276689,0
9606.ENSP00000366939,4.382447241368936e-05,4.382447241368936e-05,6.573692098754691e-05,7.669288879696978e-05,0.0001095602437999,0.0001095602437999,0.0001314724277108,0.0001424280371793,0.0001533840413685,0.0001862522813098,9606.ENSP00000276689,0
9606.ENSP00000355467,9.860370300884824e-05,9.860370300884824e-05,0.0001479062921134,0.0001725559959595,0.0002465044890413,0.0002465044890413,0.0002958055192721,0.0003204556669516,0.0003451064403634,0.0004190577856206,9606.ENSP00000276689,0
9606.ENSP00000341213,3.561077664926415e-05,3.561077664926415e-05,5.341699215932749e-05,6.231836778169964e-05,8.902161334845005e-05,8.902161334845005e-05,0.0001068261253749,0.0001157277383754,0.0001246302317667,0.0001513367760708,9606.ENSP00000276689,0
9606.ENSP00000308515,8.21706544229528e-05,8.21706544229528e-05,0.0001232568556588,0.0001437979390175,0.0002054206597676,0.0002054206597676,0.0002465048819431,0.0002670467347343,0.0002875892587326,0.0003492153246043,9606.ENSP00000276689,1
9606.ENSP00000264451,4.930214254272869e-05,4.930214254272869e-05,7.39535817046999e-05,8.627860188425984e-05,0.0001232532013091,0.0001232532013091,0.0001479039219702,0.0001602289839865,0.0001725544398141,0.0002095304553222,9606.ENSP00000276689,1
9606.ENSP00000260953,2.7389229217078537e-05,2.7389229217078537e-05,4.1083889300352894e-05,4.793114248968777e-05,6.847278382338118e-05,6.847278382338118e-05,8.216735750465887e-05,8.901457204046892e-05,9.58618584263604e-05,0.000116403719403,9606.ENSP00000276689,0
9606.ENSP00000418008,0.0003348438331158,0.0003348438331158,0.0003348438331158,0.0003348438331158,0.000558063678909,0.0007813115662429,0.0008929211617214,0.0012277595160412,0.0017857943967101,0.0020090209654881,9606.ENSP00000276689,1
