protein,heat_target_0.1,heat_target_0.2,heat_target_0.3,Target,label
9606.ENSP00000310873,0.0001281952863791,8.581930887885392e-05,7.974192703841254e-05,9606.ENSP00000264932,0
9606.ENSP00000428263,5.1426730351522565e-05,6.711390597047284e-05,7.286245818249881e-05,9606.ENSP00000264932,0
9606.ENSP00000288111,9.611081623006612e-05,8.228497608797625e-05,7.902296783868223e-05,9606.ENSP00000264932,0
9606.ENSP00000216254,9.778390085557476e-05,8.222601900342852e-05,7.894735608715564e-05,9606.ENSP00000264932,0
9606.ENSP00000387262,0.0001034256638376,8.557392720831558e-05,8.050616452237591e-05,9606.ENSP00000264932,0
9606.ENSP00000368318,9.31733738980256e-05,8.220956078730524e-05,7.903695950517431e-05,9606.ENSP00000264932,0
9606.ENSP00000273986,0.0001189957765745,8.407517452724278e-05,7.941557123558596e-05,9606.ENSP00000264932,0
9606.ENSP00000264093,0.0001386179355904,8.96015262696892e-05,8.158031414495781e-05,9606.ENSP00000264932,1
9606.ENSP00000315118,0.0001148964001913,8.381521183764562e-05,7.91827478678897e-05,9606.ENSP00000264932,0
9606.ENSP00000264193,8.904937567422166e-05,8.12982179922983e-05,7.874108996475115e-05,9606.ENSP00000264932,0
9606.ENSP00000302037,8.800639625405893e-05,8.10404380899854e-05,7.81893904786557e-05,9606.ENSP00000264932,0
9606.ENSP00000301329,9.62800477282144e-05,8.209844236262143e-05,7.903563528088853e-05,9606.ENSP00000264932,0
9606.ENSP00000481127,3.2449286663904786e-05,5.201836029300466e-05,6.265467527555302e-05,9606.ENSP00000264932,0
9606.ENSP00000273968,3.1217248761095107e-05,4.921978325000964e-05,5.981692811474204e-05,9606.ENSP00000264932,0
9606.ENSP00000267103,9.023005986819044e-05,8.135188545566052e-05,7.882945646997541e-05,9606.ENSP00000264932,0
9606.ENSP00000351214,0.000114878937893,8.4773259004578e-05,7.960275252116844e-05,9606.ENSP00000264932,0
9606.ENSP00000263702,9.610827692085876e-05,8.23249138193205e-05,7.905713573563844e-05,9606.ENSP00000264932,1
9606.ENSP00000403987,2.1259011191432364e-05,3.722116889548488e-05,4.811705730389803e-05,9606.ENSP00000264932,0
9606.ENSP00000406933,9.537168079987168e-05,8.453516056761146e-05,7.986563286976889e-05,9606.ENSP00000264932,0
9606.ENSP00000317177,7.381477917078882e-05,7.848889799788594e-05,7.752369856461883e-05,9606.ENSP00000264932,0
9606.ENSP00000441065,9.526538633508608e-05,8.167243504431099e-05,7.873612776165828e-05,9606.ENSP00000264932,0
9606.ENSP00000360268,8.767610415816307e-05,8.095409430097789e-05,7.85703377914615e-05,9606.ENSP00000264932,0
9606.ENSP00000288532,0.000132087196107,8.692785922903568e-05,7.981350063346326e-05,9606.ENSP00000264932,0
9606.ENSP00000429168,0.0001195549994008,9.479876462137328e-05,8.386082481592894e-05,9606.ENSP00000264932,0
9606.ENSP00000238561,0.0001124863774748,8.87640708242543e-05,8.079952385742217e-05,9606.ENSP00000264932,0
9606.ENSP00000386543,0.0001033723674481,8.578981214668602e-05,8.002607501111925e-05,9606.ENSP00000264932,1
9606.ENSP00000317379,0.0001056136243278,8.261704351752996e-05,7.904594531282783e-05,9606.ENSP00000264932,0
9606.ENSP00000355741,0.0001034329034155,8.18425469333306e-05,7.80848931754008e-05,9606.ENSP00000264932,0
9606.ENSP00000327070,9.616283932700752e-05,8.187375351553783e-05,7.883686339482665e-05,9606.ENSP00000264932,0
9606.ENSP00000469981,7.8560748079326e-05,7.777759310556576e-05,7.72154817241244e-05,9606.ENSP00000264932,0
9606.ENSP00000337358,0.0001004613222903,8.546130993636325e-05,8.001430978765711e-05,9606.ENSP00000264932,0
