Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000008323	PLEKHG6	14.3	2.0	Not detected
ENSG00000008324	SS18L2	37.0	70.2	Medium
ENSG00000008382	MPND	28.9	21.9	Low
ENSG00000008394	MGST1	551.4	4707.3	High
ENSG00000008405	CRY1	13.9	15.7	Low
ENSG00000008438	PGLYRP1	0.2	0.0	Not detected
ENSG00000008441	NFIX	20.9	29.0	Medium
ENSG00000008513	ST3GAL1	36.0	139.7	High
ENSG00000008516	MMP25	0.0	0.2	Low
ENSG00000008517	IL32	488.0	135.7	
ENSG00000008710	PKD1	4.7	17.0	Medium
ENSG00000008735	MAPK8IP2	1.5	0.1	
ENSG00000008838	MED24	82.6	12.8	
ENSG00000008853	RHOBTB2	8.4	2.0	Medium
ENSG00000008869	HEATR5B	11.8	6.6	Medium
ENSG00000008952	SEC62	108.2	1107.7	Low
ENSG00000008988	RPS20	3364.1	2771.6	Low
ENSG00000009307	CSDE1	352.7	176.3	Low
ENSG00000009335	UBE3C	33.6	39.9	Medium
ENSG00000009413	REV3L	13.8	12.1	Medium
ENSG00000009694	TENM1	0.0	14.8	
ENSG00000009709	PAX7	0.0	0.0	
ENSG00000009724	MASP2	16.7	641.9	Not detected
ENSG00000009765	IYD	0.1	24.6	Not detected
ENSG00000009780	FAM76A	10.4	18.2	Not detected
ENSG00000009790	TRAF3IP3	0.0	4.0	Not detected
ENSG00000009830	POMT2	6.0	3.6	Not detected
ENSG00000009844	VTA1	87.9	23.8	Medium
ENSG00000009950	MLXIPL	89.7	201.1	
ENSG00000009954	BAZ1B	54.6	58.5	Not detected
ENSG00000010017	RANBP9	42.8	15.5	Medium
ENSG00000010030	ETV7	0.0	0.2	
ENSG00000010072	SPRTN	8.4	8.4	Not detected
ENSG00000010165	EEF1AKNMT	22.4	9.3	Medium
ENSG00000010219	DYRK4	3.7	12.3	Not detected
ENSG00000010244	ZNF207	184.1	53.5	High
ENSG00000010256	UQCRC1	342.8	167.1	High
ENSG00000010270	STARD3NL	42.9	12.0	Low
ENSG00000010278	CD9	26.8	38.6	Not detected
ENSG00000010282	HHATL	0.0	0.0	Not detected
ENSG00000010292	NCAPD2	74.4	2.9	Low
ENSG00000010295	IFFO1	8.7	5.8	Not detected
ENSG00000010310	GIPR	0.4	0.0	Medium
ENSG00000010318	PHF7	3.0	3.4	Not detected
ENSG00000010319	SEMA3G	15.9	0.0	
ENSG00000010322	NISCH	24.6	11.7	Low
ENSG00000010327	STAB1	0.1	13.0	Low
ENSG00000010361	FUZ	0.1	8.0	Medium
ENSG00000010379	SLC6A13	0.0	18.9	
