protein,RNA line ab,RNA type ab,binary_RNA line ab,binary_RNA type ab,one_hot_0,one_hot_1,one_hot_2,one_hot_3
9606.ENSP00000380903,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000284288,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000409016,6.5,83.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000284292,3.3,0.8,1,1,1,0,0,0
9606.ENSP00000304642,0,81.3,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000371689,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000284311,0,0,0,0,0,1,0,0
9606.ENSP00000284320,59,58.2,1,1,0,1,0,0
9606.ENSP00000284322,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000428340,0,0.1,0,1,1,0,0,0
9606.ENSP00000464006,2.4,10.5,1,1,0,0,1,0
9606.ENSP00000360642,8.5,7.5,1,1,1,0,0,0
9606.ENSP00000284382,0,0,0,0,1,0,0,0
9606.ENSP00000408695,21.1,11.9,1,1,1,0,0,0
9606.ENSP00000373600,0,0.5,0,1,1,0,0,0
9606.ENSP00000376522,2.4,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000192314,2.8,0,1,0,1,0,0,0
9606.ENSP00000342216,0.7,7.9,1,1,0,1,0,0
9606.ENSP00000284425,0,86.4,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000269081,0,1.6,0,1,1,0,0,0
9606.ENSP00000376443,3.6,74.1,1,1,0,1,0,0
9606.ENSP00000406261,26.1,1,1,1,1,0,0,0
9606.ENSP00000284437,0.3,39.3,1,1,0,0,1,0
9606.ENSP00000284440,0.5,0.5,1,1,1,0,0,0
9606.ENSP00000340900,27.2,53,1,1,0,1,0,0
9606.ENSP00000284476,1.1,16.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000399511,0.1,6.7,1,1,0,0,1,0
9606.ENSP00000284486,0,0,0,0,1,0,0,0
9606.ENSP00000284503,12.6,22,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000379678,0,0,0,0,1,0,0,0
9606.ENSP00000284523,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000455507,0.1,1.4,1,1,0,1,0,0
9606.ENSP00000381298,8.3,11.7,1,1,1,0,0,0
9606.ENSP00000284551,18.6,3.9,1,1,0,1,0,0
9606.ENSP00000355809,79.5,11.4,1,1,0,1,0,0
9606.ENSP00000284601,0,0,0,0,1,0,0,0
9606.ENSP00000284617,5.9,4,1,1,1,0,0,0
9606.ENSP00000284629,0,0,0,0,1,0,0,0
9606.ENSP00000284637,5.7,10.5,1,1,0,1,0,0
9606.ENSP00000359488,0.1,0.2,1,1,1,0,0,0
9606.ENSP00000357858,284.6,41.7,1,1,1,0,0,0
9606.ENSP00000284674,0,0,0,0,1,0,0,0
9606.ENSP00000391504,0.2,0.6,1,1,1,0,0,0
9606.ENSP00000357798,0.3,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000284694,0,0,0,0,1,0,0,0
9606.ENSP00000359333,19.9,12.4,1,1,0,0,1,0
9606.ENSP00000284727,763.2,1093.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000478671,2.3,5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000472118,5.2,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000414302,0.8,0.7,1,1,1,0,0,0
9606.ENSP00000284770,4.2,1,1,1,1,0,0,0
9606.ENSP00000347852,25.5,168.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000478121,177,232.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000284818,2,2.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000311121,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000284878,69.1,104.9,1,1,0,0,1,0
9606.ENSP00000344609,29.6,7,1,1,0,1,0,0
9606.ENSP00000284881,5.3,7.6,1,1,0,0,1,0
9606.ENSP00000299295,0,0,0,0,1,0,0,0
9606.ENSP00000284885,0,0,0,0,1,0,0,0
9606.ENSP00000383392,0,0.1,0,1,1,0,0,0
9606.ENSP00000382976,6,10,1,1,1,0,0,0
9606.ENSP00000379496,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000370208,13.1,9.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000305682,85.5,25.1,1,1,1,0,0,0
9606.ENSP00000383376,0.1,0.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000389649,484.6,2016.3,1,1,0,0,0,1
9606.ENSP00000346886,10.2,16.4,1,1,1,0,0,0
9606.ENSP00000284984,0.1,2.4,1,1,1,0,0,0
9606.ENSP00000284987,0,0,0,0,1,0,0,0
9606.ENSP00000284995,5,5.7,1,1,1,0,0,0
9606.ENSP00000285013,0.1,1,1,1,1,0,0,0
9606.ENSP00000285018,0,0,0,0,1,0,0,0
9606.ENSP00000285021,24.5,40,1,1,0,0,1,0
9606.ENSP00000373304,7.6,36,1,1,0,0,1,0
9606.ENSP00000285046,0.1,0.4,1,1,0,1,0,0
9606.ENSP00000285071,16.1,18.3,1,1,0,0,1,0
9606.ENSP00000419599,20.1,49.9,1,1,1,0,0,0
9606.ENSP00000285083,11.2,25.6,1,1,1,0,0,0
9606.ENSP00000478458,0,4.9,0,1,1,0,0,0
9606.ENSP00000390475,37.1,11,1,1,0,0,1,0
9606.ENSP00000285116,12.2,0.1,1,1,0,0,0,1
9606.ENSP00000383402,40.8,10.2,1,1,1,0,0,0
9606.ENSP00000347433,0.6,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000421377,11.6,6,1,1,1,0,0,0
9606.ENSP00000465894,5.1,24,1,1,0,0,0,1
9606.ENSP00000285199,0.7,10.7,1,1,0,0,1,0
9606.ENSP00000285208,0.6,0,1,0,1,0,0,0
9606.ENSP00000376952,14.4,0.3,1,1,0,0,1,0
9606.ENSP00000381097,0.1,4.3,1,1,1,0,0,0
9606.ENSP00000316924,34.6,3.5,1,1,1,0,0,0
9606.ENSP00000285243,42.3,22.4,1,1,1,0,0,0
9606.ENSP00000315664,3.7,2.7,1,1,0,0,0,1
9606.ENSP00000405388,0,0,0,0,1,0,0,0
9606.ENSP00000285279,53.2,21.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000373627,2.4,0,1,0,1,0,0,0
9606.ENSP00000362268,7.8,49.9,1,1,0,0,1,0
9606.ENSP00000285311,0,0,0,0,1,0,0,0
9606.ENSP00000333212,1.6,5.2,1,1,1,0,0,0
9606.ENSP00000385443,0.2,0,1,0,1,0,0,0
9606.ENSP00000371805,4.8,7.4,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000399013,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000318270,0,0,0,0,1,0,0,0
9606.ENSP00000410186,3.4,1.4,1,1,0,0,0,1
9606.ENSP00000285402,0,0,0,0,1,0,0,0
9606.ENSP00000285407,22.8,43.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000374069,11.1,1.2,1,1,1,0,0,0
9606.ENSP00000337180,69.7,61.5,1,1,0,0,0,1
9606.ENSP00000379203,30.6,15.6,1,1,1,0,0,0
9606.ENSP00000285419,1.7,1.4,1,1,1,0,0,0
9606.ENSP00000285420,7.1,10.4,1,1,0,1,0,0
9606.ENSP00000357907,10.7,11.2,1,1,0,0,1,0
9606.ENSP00000357863,292,111.4,1,1,0,0,1,0
9606.ENSP00000422496,5.2,10.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000285518,8.6,47.7,1,1,1,0,0,0
9606.ENSP00000412698,44.6,11.2,1,1,1,0,0,0
9606.ENSP00000285600,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000359665,17.2,9.1,1,1,0,1,0,0
9606.ENSP00000441365,0,0.4,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000377282,17.7,7.6,1,1,0,0,1,0
9606.ENSP00000359634,0,0.2,0,1,0,0,1,0
9606.ENSP00000371927,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000374387,5.1,3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000359526,19.4,18.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000285667,27.2,9.4,1,1,0,0,1,0
9606.ENSP00000285670,0,2.3,0,1,0,1,0,0
9606.ENSP00000383044,15.4,16.9,1,1,0,0,1,0
9606.ENSP00000426120,5.5,19,1,1,0,1,0,0
9606.ENSP00000423276,54.4,74.7,1,1,1,0,0,0
9606.ENSP00000285697,7.4,47.5,1,1,1,0,0,0
9606.ENSP00000399797,36.1,14.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000285735,160.4,61.6,1,1,1,0,0,0
9606.ENSP00000308926,0.2,0.1,1,1,1,0,0,0
9606.ENSP00000439012,867,2831.9,1,1,0,0,0,1
9606.ENSP00000441065,111.8,34,1,1,0,0,1,0
9606.ENSP00000299192,21.2,9.2,1,1,1,0,0,0
9606.ENSP00000285805,2,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000285814,88.6,39.3,1,1,0,1,0,0
9606.ENSP00000483491,350.8,99.6,1,1,1,0,0,0
9606.ENSP00000380666,2.7,1.5,1,1,1,0,0,0
9606.ENSP00000285879,0,0,0,0,1,0,0,0
9606.ENSP00000336721,105.3,56.4,1,1,0,1,0,0
9606.ENSP00000430493,59.1,10.8,1,1,0,0,1,0
9606.ENSP00000428994,0,0,0,0,1,0,0,0
9606.ENSP00000285928,0,0.4,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000285947,5.3,35.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000370596,11.3,8.6,1,1,1,0,0,0
9606.ENSP00000285968,28.8,8.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000331626,8,3.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000334289,12.8,11.8,1,1,0,1,0,0
9606.ENSP00000286049,0,0,0,0,1,0,0,0
9606.ENSP00000339826,2.9,64.6,1,1,0,1,0,0
9606.ENSP00000286070,12.6,3.8,1,1,0,0,1,0
9606.ENSP00000467141,0.4,0.2,1,1,1,0,0,0
9606.ENSP00000363869,0,2.7,0,1,1,0,0,0
9606.ENSP00000286091,503.6,459.8,1,1,0,0,1,0
9606.ENSP00000398410,5.8,59.3,1,1,0,0,1,0
9606.ENSP00000441685,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000373610,0,0.1,0,1,1,0,0,0
9606.ENSP00000352941,5.4,10,1,1,1,0,0,0
9606.ENSP00000393667,6,17.2,1,1,1,0,0,0
9606.ENSP00000385098,0.4,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000409937,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000386264,13.8,2.3,1,1,1,0,0,0
9606.ENSP00000286201,1.9,0.2,1,1,0,0,1,0
9606.ENSP00000337804,0,0,0,0,1,0,0,0
9606.ENSP00000286234,0.9,15.4,1,1,0,0,1,0
9606.ENSP00000318884,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000373772,41.8,16.1,1,1,0,1,0,0
9606.ENSP00000420256,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000312649,1.2,3.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000312185,0,13.8,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000286298,5.1,1.5,1,1,1,0,0,0
9606.ENSP00000286307,4.8,1.9,1,1,1,0,0,0
9606.ENSP00000286317,10.9,10.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000369907,0,0.8,0,1,1,0,0,0
9606.ENSP00000369899,124.1,70.2,1,1,0,1,0,0
9606.ENSP00000344801,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000286349,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000286353,9.3,2.2,1,1,0,0,1,0
9606.ENSP00000286355,0,0,0,0,0,0,1,0
9606.ENSP00000286364,3.9,10.1,1,1,0,0,0,1
9606.ENSP00000356272,42.2,20.4,1,1,0,0,0,1
9606.ENSP00000356310,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000394049,0,2.2,0,1,1,0,0,0
9606.ENSP00000286424,44.8,216.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000286428,52.5,31.3,1,1,0,0,1,0
9606.ENSP00000358466,0,0,0,0,1,0,0,0
9606.ENSP00000358460,0,1.1,0,1,1,0,0,0
9606.ENSP00000359489,0,0,0,0,1,0,0,0
9606.ENSP00000321455,2.4,13.1,1,1,1,0,0,0
9606.ENSP00000381098,0.1,0,1,0,1,0,0,0
9606.ENSP00000318629,17.4,19.7,1,1,0,1,0,0
9606.ENSP00000408979,8.4,0,1,0,1,0,0,0
9606.ENSP00000286479,0.2,63.2,1,1,0,0,0,1
9606.ENSP00000438293,0,0,0,0,1,0,0,0
9606.ENSP00000324127,2.9,38.9,1,1,1,0,0,0
9606.ENSP00000366030,18.1,24.1,1,1,0,1,0,0
9606.ENSP00000362144,20.6,6.7,1,1,0,1,0,0
9606.ENSP00000286523,5.8,16.5,1,1,0,1,0,0
9606.ENSP00000310829,0.8,2.3,1,1,1,0,0,0
9606.ENSP00000365807,0,1.5,0,1,1,0,0,0
9606.ENSP00000286544,1.8,1.8,1,1,0,0,1,0
9606.ENSP00000286548,16.5,52.5,1,1,1,0,0,0
9606.ENSP00000286574,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000305221,2.2,816.6,1,1,0,0,1,0
9606.ENSP00000432456,0,0,0,0,1,0,0,0
9606.ENSP00000286614,0,0,0,0,1,0,0,0
9606.ENSP00000286621,99,148.5,1,1,0,0,1,0
9606.ENSP00000286628,0,24.8,0,1,0,1,0,0
9606.ENSP00000286639,1.2,1.1,1,1,0,1,0,0
9606.ENSP00000286648,20.9,7.4,1,1,1,0,0,0
9606.ENSP00000286657,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000358807,2.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000389630,11.7,20.3,1,1,0,0,1,0
9606.ENSP00000379430,6.2,30.3,1,1,0,0,0,1
9606.ENSP00000286692,16.6,33.2,1,1,0,0,1,0
9606.ENSP00000286688,2.1,2.9,1,1,0,1,0,0
9606.ENSP00000286719,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000286732,0.1,0.1,1,1,1,0,0,0
9606.ENSP00000286744,0,8.6,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000348064,0,0,0,0,1,0,0,0
9606.ENSP00000378074,1.5,35.3,1,1,1,0,0,0
9606.ENSP00000286760,4.5,10,1,1,1,0,0,0
9606.ENSP00000286758,0,16.2,0,1,1,0,0,0
9606.ENSP00000303584,3.3,4.6,1,1,1,0,0,0
9606.ENSP00000418693,0.9,24.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000334808,31.9,98.8,1,1,1,0,0,0
9606.ENSP00000286788,328,64.3,1,1,0,1,0,0
9606.ENSP00000382828,1,6.1,1,1,1,0,0,0
9606.ENSP00000286794,0.1,0,1,0,1,0,0,0
9606.ENSP00000382805,18.7,23.7,1,1,1,0,0,0
9606.ENSP00000286808,0,0,0,0,1,0,0,0
9606.ENSP00000382783,0,0,0,0,1,0,0,0
9606.ENSP00000367743,77.2,4.2,1,1,1,0,0,0
9606.ENSP00000286827,0.1,4.2,1,1,0,0,1,0
9606.ENSP00000286835,31.5,17.8,1,1,0,0,1,0
9606.ENSP00000367766,7.1,6.4,1,1,0,0,0,1
9606.ENSP00000322343,0,0.9,0,1,0,0,1,0
9606.ENSP00000358862,17.6,14.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000286918,7.2,12.1,1,1,1,0,0,0
9606.ENSP00000358742,5.9,2.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000358715,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000358909,5,21.4,1,1,0,1,0,0
9606.ENSP00000401770,303.5,1362.6,1,1,0,0,0,1
9606.ENSP00000313398,12.9,8.1,1,1,1,0,0,0
9606.ENSP00000387303,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000274625,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000287008,0.4,23.6,1,1,0,1,0,0
9606.ENSP00000424497,6.5,11.1,1,1,0,1,0,0
9606.ENSP00000287020,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000430494,307.7,1355.2,1,1,0,0,0,1
9606.ENSP00000287025,18.4,8.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000430548,5.5,27.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000377936,0.3,0,1,0,1,0,0,0
9606.ENSP00000428085,3665.6,2621.7,1,1,0,1,0,0
9606.ENSP00000287042,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000359820,1,1.5,1,1,0,0,1,0
9606.ENSP00000352678,25.5,11.6,1,1,0,0,0,1
9606.ENSP00000419592,11.5,5.6,1,1,0,0,1,0
9606.ENSP00000339063,13399.8,3520.2,1,1,0,0,1,0
9606.ENSP00000403293,0.3,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000346643,23.5,0.2,1,1,1,0,0,0
9606.ENSP00000402103,0.9,0.6,1,1,0,1,0,0
9606.ENSP00000287078,4.8,13.6,1,1,1,0,0,0
9606.ENSP00000329097,13.4,14.4,1,1,1,0,0,0
9606.ENSP00000287097,3.6,0,1,0,1,0,0,0
9606.ENSP00000345985,0,0,0,0,1,0,0,0
9606.ENSP00000287139,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000287143,0,0,0,0,1,0,0,0
9606.ENSP00000287156,33.4,46.8,1,1,0,0,1,0
9606.ENSP00000287169,45.8,13,1,1,0,0,1,0
9606.ENSP00000337340,15.2,33.7,1,1,0,1,0,0
9606.ENSP00000287218,64.3,46.3,1,1,1,0,0,0
9606.ENSP00000290401,122.6,37.8,1,1,1,0,0,0
9606.ENSP00000287239,4.5,21,1,1,0,1,0,0
9606.ENSP00000438042,7.2,9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000331342,14.4,14.2,1,1,0,1,0,0
9606.ENSP00000385143,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000287275,0,0,0,0,1,0,0,0
9606.ENSP00000377944,25.3,6.8,1,1,1,0,0,0
9606.ENSP00000287295,73,99.7,1,1,0,0,1,0
9606.ENSP00000211287,19.8,0.7,1,1,0,1,0,0
9606.ENSP00000287322,23.4,25.7,1,1,0,0,1,0
9606.ENSP00000433277,0,0,0,0,1,0,0,0
9606.ENSP00000287380,10.9,1.9,1,1,1,0,0,0
9606.ENSP00000287387,18.8,8.5,1,1,0,1,0,0
9606.ENSP00000287394,64.1,11.7,1,1,1,0,0,0
9606.ENSP00000428205,0.1,3.2,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000287437,31.1,17.7,1,1,0,0,1,0
9606.ENSP00000287461,16.2,6.2,1,1,0,1,0,0
9606.ENSP00000441641,24.2,10.7,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000348489,30.6,7,1,1,0,0,1,0
9606.ENSP00000287474,8.2,46,1,1,0,0,1,0
9606.ENSP00000455607,36,23,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000359171,35.7,2.4,1,1,0,0,1,0
9606.ENSP00000287482,9.2,2.3,1,1,0,0,1,0
9606.ENSP00000287490,0,72.9,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000373854,0,0.2,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000377699,0,0.1,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000287538,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000419370,22.1,129.1,1,1,0,0,1,0
9606.ENSP00000404704,9.5,8.3,1,1,1,0,0,0
9606.ENSP00000453129,15.2,21.3,1,1,0,1,0,0
9606.ENSP00000287585,0.1,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000287590,0.6,0.1,1,1,1,0,0,0
9606.ENSP00000379669,4.4,26,1,1,0,0,1,0
9606.ENSP00000287598,37.5,0.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000287600,14.1,5,1,1,0,0,1,0
9606.ENSP00000326381,212.9,139.6,1,1,0,1,0,0
9606.ENSP00000373340,10.7,3.5,1,1,1,0,0,0
9606.ENSP00000373331,44.8,33.9,1,1,0,0,1,0
9606.ENSP00000287641,0,0,0,0,1,0,0,0
9606.ENSP00000287652,24,9.5,1,1,0,1,0,0
9606.ENSP00000335074,4.4,0.1,1,1,1,0,0,0
9606.ENSP00000373312,377.1,63.2,1,1,1,0,0,0
9606.ENSP00000287675,6.4,5.4,1,1,0,1,0,0
9606.ENSP00000287706,2.7,25.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000356518,0,0,0,0,1,0,0,0
9606.ENSP00000287713,0,0,0,0,1,0,0,0
9606.ENSP00000287727,11.4,8.2,1,1,1,0,0,0
9606.ENSP00000353414,2.8,21.2,1,1,1,0,0,0
9606.ENSP00000287748,0,0,0,0,1,0,0,0
9606.ENSP00000287766,0.7,27,1,1,1,0,0,0
9606.ENSP00000402515,31.8,37.2,1,1,0,0,1,0
9606.ENSP00000393776,7.5,12.5,1,1,1,0,0,0
9606.ENSP00000340176,77.6,54.4,1,1,0,1,0,0
9606.ENSP00000415030,0,0.8,0,1,0,0,1,0
9606.ENSP00000287777,0,0,0,0,1,0,0,0
9606.ENSP00000354458,12.3,260.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000287814,0.5,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000480050,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000384620,1.1,6.4,1,1,1,0,0,0
9606.ENSP00000287859,13.9,21.2,1,1,0,1,0,0
9606.ENSP00000360541,11.4,87.5,1,1,0,0,1,0
9606.ENSP00000391942,42.4,10.5,1,1,1,0,0,0
9606.ENSP00000303634,16.7,0.1,1,1,1,0,0,0
9606.ENSP00000360381,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000384048,16.2,7.6,1,1,1,0,0,0
9606.ENSP00000378119,2,4.5,1,1,0,0,1,0
9606.ENSP00000360371,25.9,89.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000287907,0,0,0,0,1,0,0,0
9606.ENSP00000287916,33,38,1,1,0,1,0,0
9606.ENSP00000308208,6.7,3.2,1,1,0,0,1,0
9606.ENSP00000287934,1.2,0.9,1,1,0,0,0,1
9606.ENSP00000287957,14.3,19,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000364621,4.5,71.7,1,1,0,1,0,0
9606.ENSP00000288025,14.8,4,1,1,1,0,0,0
9606.ENSP00000484176,0.3,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000326219,60.3,79.1,1,1,0,0,1,0
9606.ENSP00000477802,0,0.1,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000477846,0.1,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000288065,0.1,2.9,1,1,1,0,0,0
9606.ENSP00000288071,57.1,20.3,1,1,0,0,0,1
9606.ENSP00000377257,10,11.9,1,1,1,0,0,0
9606.ENSP00000288078,5.8,7.2,1,1,1,0,0,0
9606.ENSP00000397863,2.4,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000288111,32.3,112.5,1,1,0,0,0,1
9606.ENSP00000288139,0,3.4,0,1,0,0,1,0
9606.ENSP00000441417,75.7,65.7,1,1,1,0,0,0
9606.ENSP00000288135,0,0,0,0,1,0,0,0
9606.ENSP00000377197,0.1,0,1,0,1,0,0,0
9606.ENSP00000205214,5.6,22,1,1,0,0,0,1
9606.ENSP00000288177,3,3.8,1,1,0,0,1,0
9606.ENSP00000419101,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000453872,11.1,8.9,1,1,0,0,0,1
9606.ENSP00000288207,92.7,1.1,1,1,1,0,0,0
9606.ENSP00000288228,0.5,0.1,1,1,1,0,0,0
9606.ENSP00000288235,37.6,10.9,1,1,0,1,0,0
9606.ENSP00000288266,14.8,42,1,1,1,0,0,0
9606.ENSP00000338641,0,0,0,0,1,0,0,0
9606.ENSP00000296721,0.3,0.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000361458,0.7,84.8,1,1,1,0,0,0
9606.ENSP00000311399,23.7,22.4,1,1,0,0,1,0
9606.ENSP00000381932,15.6,17.6,1,1,1,0,0,0
9606.ENSP00000477437,0,0.1,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000331698,0.1,0.3,1,1,0,1,0,0
9606.ENSP00000414150,0,0.5,0,1,0,0,1,0
9606.ENSP00000353344,73.5,243.5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000339820,0,0.5,0,1,0.25,0.25,0.25,0.25
9606.ENSP00000351008,0.1,1.5,1,1,1,0,0,0
9606.ENSP00000377401,80.9,15,1,1,1,0,0,0
9606.ENSP00000361143,7.7,1.5,1,1,0,0,1,0
9606.ENSP00000381601,2,4.6,1,1,0,0,1,0
9606.ENSP00000481956,0,0,0,0,0,0,1,0
9606.ENSP00000369853,7.3,4.1,1,1,0,1,0,0
9606.ENSP00000368215,40.3,21.7,1,1,0,1,0,0
9606.ENSP00000363891,66.1,62.8,1,1,0,0,1,0
9606.ENSP00000288462,0.2,0.8,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000363654,12.7,82.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000288466,0.2,7.6,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000288490,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000288502,3.7,4.4,1,1,0,0,1,0
9606.ENSP00000405482,0.1,0.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000323435,1.6,1.3,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000418648,3.8,16.7,1,1,1,0,0,0
9606.ENSP00000288602,5.5,11.7,1,1,1,0,0,0
9606.ENSP00000371483,0.2,0,1,0,1,0,0,0
9606.ENSP00000387356,0,0,0,0,1,0,0,0
9606.ENSP00000288607,56.4,37,1,1,0,0,1,0
9606.ENSP00000317310,0,0,0,0,0,0,1,0
9606.ENSP00000382717,5.6,7.4,1,1,0,0,0,1
9606.ENSP00000321498,20,6.1,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000338777,42.8,15.9,1,1,1,0,0,0
9606.ENSP00000288670,62.9,1.1,1,1,1,0,0,0
9606.ENSP00000384593,0.8,0,1,0,0.25,0.25,0.25,0.25
9606.ENSP00000288680,24.6,29.1,1,1,0,0,1,0
9606.ENSP00000288699,0.3,0.2,1,1,1,0,0,0
9606.ENSP00000288710,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000328551,12.1,6.2,1,1,1,0,0,0
9606.ENSP00000413218,21,4,1,1,0,0,1,0
9606.ENSP00000347948,2,18.4,1,1,0,1,0,0
9606.ENSP00000367727,4.4,5.9,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000288861,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000386908,0,0,0,0,0.25,0.25,0.25,0.25
9606.ENSP00000437803,16.5,13,1,1,0,0,1,0
9606.ENSP00000288774,51.1,9.3,1,1,1,0,0,0
9606.ENSP00000475168,155.5,226,1,1,0,0,1,0
9606.ENSP00000382492,0.1,0,1,0,1,0,0,0
9606.ENSP00000367797,25.5,20.6,1,1,1,0,0,0
9606.ENSP00000288828,50.9,56.9,1,1,1,0,0,0
9606.ENSP00000363458,13.8,23.8,1,1,1,0,0,0
9606.ENSP00000307634,14.2,5,1,1,0.25,0.25,0.25,0.25
9606.ENSP00000442400,3.1,17.2,1,1,1,0,0,0
9606.ENSP00000386502,0.6,0.1,1,1,0.25,0.25,0.25,0.25
