Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000012660	ELOVL5	168.0		
ENSG00000012779	ALOX5	0.3		
ENSG00000012817	KDM5D	0.0		
ENSG00000012822	CALCOCO1	8.2		
ENSG00000012963	UBR7	55.8		
ENSG00000012983	MAP4K5	34.3		
ENSG00000013016	EHD3	0.2		
ENSG00000013275	PSMC4	61.6		
ENSG00000013288	MAN2B2	1.0		
ENSG00000013293	SLC7A14	0.0		
ENSG00000013297	CLDN11	0.0		
ENSG00000013306	SLC25A39	147.2		
ENSG00000013364	MVP	0.8		
ENSG00000013374	NUB1	27.9		
ENSG00000013375	PGM3	38.4		
ENSG00000013392	RWDD2A	3.7		
ENSG00000013441	CLK1	27.9		
ENSG00000013503	POLR3B	19.5		
ENSG00000013523	ANGEL1	14.6		
ENSG00000013561	RNF14	55.6		
ENSG00000013563	DNASE1L1	7.6		
ENSG00000013573	DDX11	31.7		
ENSG00000013583	HEBP1	37.6		
ENSG00000013588	GPRC5A	1.0		
ENSG00000013619	MAMLD1	4.2		
ENSG00000013725	CD6	0.0		
ENSG00000013810	TACC3	142.5		
ENSG00000014123	UFL1	15.0		
ENSG00000014138	POLA2	38.8		
ENSG00000014164	ZC3H3	4.1		
ENSG00000014216	CAPN1	60.9		
ENSG00000014257	ACP3	0.0		
ENSG00000014641	MDH1	303.0		
ENSG00000014824	SLC30A9	17.3		
ENSG00000014914	MTMR11	0.3		
ENSG00000014919	COX15	44.2		
ENSG00000015133	CCDC88C	11.3		
ENSG00000015153	YAF2	15.0		
ENSG00000015171	ZMYND11	28.9		
ENSG00000015285	WAS	0.3		
ENSG00000015413	DPEP1	0.2		
ENSG00000015475	BID	14.5		
ENSG00000280987	MATR3	257.9		
ENSG00000015520	NPC1L1	0.0		
ENSG00000015532	XYLT2	2.4		
ENSG00000015568	RGPD5	14.3		
ENSG00000015592	STMN4	0.0		
ENSG00000015676	NUDCD3	4.8		
ENSG00000016082	ISL1	4.6		
ENSG00000016391	CHDH	7.4		
ENSG00000016402	IL20RA	1.2		
ENSG00000016490	CLCA1	0.0		
ENSG00000016602	CLCA4	0.0		
ENSG00000016864	GLT8D1	42.1		
ENSG00000017260	ATP2C1	95.1		
ENSG00000017427	IGF1	0.0		
ENSG00000017483	SLC38A5	164.4		
ENSG00000017797	RALBP1	48.1		
ENSG00000018189	RUFY3	10.3		
ENSG00000018236	CNTN1	6.0		
ENSG00000018280	SLC11A1	0.0		
ENSG00000018408	WWTR1	28.4		
ENSG00000018510	AGPS	64.4		
ENSG00000018610	CXorf56	40.1		
ENSG00000018625	ATP1A2	0.0		
ENSG00000018699	TTC27	22.4		
ENSG00000018869	ZNF582	0.9		
ENSG00000019102	VSIG2	0.0		
ENSG00000019144	PHLDB1	6.6		
ENSG00000019169	MARCO	0.0		
ENSG00000019186	CYP24A1	0.0		
ENSG00000019485	PRDM11	6.2		
ENSG00000019505	SYT13	0.2		
ENSG00000019549	SNAI2	0.4		
ENSG00000019582	CD74	0.0		
ENSG00000019991	HGF	0.0		
ENSG00000019995	ZRANB1	22.8		
ENSG00000020129	NCDN	16.6		
ENSG00000020181	ADGRA2	3.5		
ENSG00000020256	ZFP64	12.0		
ENSG00000020426	MNAT1	53.0		
ENSG00000020577	SAMD4A	6.6		
ENSG00000020633	RUNX3	11.1		
ENSG00000020922	MRE11	33.7		
ENSG00000021300	PLEKHB1	2.6		
ENSG00000021355	SERPINB1	4.8		
ENSG00000021461	CYP3A43	0.0		
ENSG00000021488	SLC7A9	0.0		
ENSG00000021574	SPAST	19.5		
ENSG00000021645	NRXN3	0.1		
ENSG00000021762	OSBPL5	1.3		
ENSG00000021776	AQR	14.8		
ENSG00000021826	CPS1	0.5		
ENSG00000021852	C8B	0.0		
ENSG00000022267	FHL1	119.2		
ENSG00000022277	RTF2	92.4		
ENSG00000022355	GABRA1	0.0		
ENSG00000022556	NLRP2	0.0		
ENSG00000022567	SLC45A4	2.1		
ENSG00000022840	RNF10	126.6		
ENSG00000022976	ZNF839	10.0		
ENSG00000023041	ZDHHC6	33.8		
ENSG00000023171	GRAMD1B	6.2		
ENSG00000023191	RNH1	20.6		
ENSG00000023228	NDUFS1	52.9		
ENSG00000023287	RB1CC1	31.4		
ENSG00000023318	ERP44	25.7		
ENSG00000023330	ALAS1	55.1		
ENSG00000023445	BIRC3	0.1		
ENSG00000023516	AKAP11	16.1		
ENSG00000023572	GLRX2	17.5		
ENSG00000023608	SNAPC1	10.6		
ENSG00000023697	DERA	43.4		
ENSG00000023734	STRAP	254.6		
ENSG00000023839	ABCC2	0.3		
ENSG00000023892	DEF6	0.0		
ENSG00000023902	PLEKHO1	23.3		
ENSG00000023909	GCLM	9.6		
ENSG00000024048	UBR2	15.1		
ENSG00000024422	EHD2	1.5		
ENSG00000024526	DEPDC1	58.6		
ENSG00000024862	CCDC28A	15.6		
ENSG00000025039	RRAGD	24.5		
ENSG00000025156	HSF2	30.1		
ENSG00000025293	PHF20	22.6		
ENSG00000025423	HSD17B6	6.1		
ENSG00000025434	NR1H3	7.6		
ENSG00000025708	TYMP	0.2		
ENSG00000025770	NCAPH2	49.0		
ENSG00000025772	TOMM34	98.8		
ENSG00000025796	SEC63	32.3		
ENSG00000025800	KPNA6	33.5		
ENSG00000026025	VIM	283.8		
ENSG00000026103	FAS	1.0		
ENSG00000026297	RNASET2	20.8		
ENSG00000026508	CD44	9.9		
ENSG00000026559	KCNG1	1.7		
ENSG00000026652	AGPAT4	4.8		
ENSG00000026751	SLAMF7	0.0		
ENSG00000026950	BTN3A1	3.0		
ENSG00000027001	MIPEP	18.1		
ENSG00000027075	PRKCH	0.6		
ENSG00000027644	INSRR	0.0		
ENSG00000027697	IFNGR1	24.1		
ENSG00000027847	B4GALT7	9.8		
ENSG00000027869	SH2D2A	0.4		
ENSG00000028116	VRK2	34.9		
ENSG00000028137	TNFRSF1B	0.8		
ENSG00000028203	VEZT	13.3		
ENSG00000028277	POU2F2	0.6		
ENSG00000028310	BRD9	20.4		
ENSG00000028528	SNX1	102.6		
ENSG00000028839	TBPL1	28.0		
ENSG00000029153	ARNTL2	12.3		
ENSG00000029363	BCLAF1	183.5		
ENSG00000029364	SLC39A9	30.9		
ENSG00000029534	ANK1	0.8		
ENSG00000029559	IBSP	0.0		
ENSG00000029639	TFB1M	5.6		
ENSG00000029725	RABEP1	87.8		
ENSG00000029993	HMGB3	324.4		
ENSG00000030066	NUP160	96.5		
ENSG00000030110	BAK1	41.0		
ENSG00000030304	MUSK	0.0		
ENSG00000030419	IKZF2	0.1		
ENSG00000030582	GRN	68.6		
ENSG00000031003	FAM13B	16.3		
ENSG00000031081	ARHGAP31	5.9		
ENSG00000031691	CENPQ	15.8		
ENSG00000031698	SARS1	241.1		
ENSG00000031823	RANBP3	38.2		
ENSG00000032219	ARID4A	8.6		
ENSG00000032389	EIPR1	20.9		
ENSG00000032444	PNPLA6	13.1		
ENSG00000032742	IFT88	11.1		
ENSG00000033011	ALG1	30.1		
ENSG00000033030	ZCCHC8	23.1		
ENSG00000033050	ABCF2	58.9		
ENSG00000033100	CHPF2	6.5		
ENSG00000033122	LRRC7	0.3		
ENSG00000033170	FUT8	29.9		
ENSG00000033178	UBA6	31.9		
ENSG00000033327	GAB2	21.2		
ENSG00000033627	ATP6V0A1	34.5		
ENSG00000033800	PIAS1	41.5		
ENSG00000033867	SLC4A7	20.2		
ENSG00000034053	APBA2	0.5		
ENSG00000034152	MAP2K3	31.0		
ENSG00000034239	EFCAB1	0.0		
ENSG00000034510	TMSB10	1269.9		
ENSG00000034533	ASTE1	9.1		
ENSG00000034677	RNF19A	11.6		
ENSG00000034693	PEX3	14.4		
ENSG00000034713	GABARAPL2	107.6		
ENSG00000034971	MYOC	0.0		
ENSG00000035115	SH3YL1	3.4		
ENSG00000035141	FAM136A	106.8		
ENSG00000035403	VCL	115.7		
ENSG00000035499	DEPDC1B	49.2		
ENSG00000035664	DAPK2	3.8		
ENSG00000035681	NSMAF	24.7		
ENSG00000035687	ADSS2	45.9		
ENSG00000035720	STAP1	0.0		
ENSG00000035862	TIMP2	29.1		
ENSG00000035928	RFC1	49.8		
ENSG00000036054	TBC1D23	64.5		
ENSG00000036257	CUL3	99.8		
ENSG00000036448	MYOM2	0.0		
ENSG00000036473	OTC	0.0		
ENSG00000036530	CYP46A1	0.0		
ENSG00000036549	ZZZ3	29.3		
ENSG00000036565	SLC18A1	0.0		
ENSG00000036672	USP2	7.9		
ENSG00000036828	CASR	0.0		
ENSG00000037042	TUBG2	0.0		
ENSG00000037241	RPL26L1	170.1		
ENSG00000037280	FLT4	3.4		
ENSG00000037474	NSUN2	102.1		
ENSG00000037637	FBXO42	19.8		
ENSG00000037749	MFAP3	32.5		
ENSG00000037757	MRI1	24.5		
ENSG00000037897	METTL1	27.4		
ENSG00000037965	HOXC8	3.9		
ENSG00000038002	AGA	11.3		
ENSG00000038210	PI4K2B	37.3		
ENSG00000038219	BOD1L1	18.7		
ENSG00000038274	MAT2B	84.8		
