protein,RNA line ab,binary_RNA line ab
9606.ENSP00000215770,1.2,1
9606.ENSP00000215781,0,0
9606.ENSP00000215793,101.6,1
9606.ENSP00000215794,21.6,1
9606.ENSP00000215812,0.3,1
9606.ENSP00000215829,252.1,1
9606.ENSP00000215832,73.9,1
9606.ENSP00000215838,3.7,1
9606.ENSP00000215855,0.8,1
9606.ENSP00000215862,17.7,1
9606.ENSP00000215882,82.9,1
9606.ENSP00000215885,0.1,1
9606.ENSP00000215886,0,0
9606.ENSP00000215904,52.8,1
9606.ENSP00000215906,4.5,1
9606.ENSP00000215909,58.8,1
9606.ENSP00000215912,0.1,1
9606.ENSP00000215917,16.6,1
9606.ENSP00000215939,0,0
9606.ENSP00000215941,19.5,1
9606.ENSP00000215957,9.1,1
9606.ENSP00000215980,32.9,1
9606.ENSP00000216024,2,1
9606.ENSP00000216027,6.9,1
9606.ENSP00000216034,81.8,1
9606.ENSP00000216036,0.1,1
9606.ENSP00000216037,134.2,1
9606.ENSP00000216038,144.7,1
9606.ENSP00000216039,49.2,1
9606.ENSP00000216044,45.5,1
9606.ENSP00000216068,11,1
9606.ENSP00000216071,0,0
9606.ENSP00000216075,0.2,1
9606.ENSP00000216085,2.5,1
9606.ENSP00000216099,0.3,1
9606.ENSP00000216101,0.1,1
9606.ENSP00000216106,14.9,1
9606.ENSP00000216115,4.8,1
9606.ENSP00000216117,11.4,1
9606.ENSP00000216121,87.7,1
9606.ENSP00000216122,116,1
9606.ENSP00000216124,1.2,1
9606.ENSP00000216127,0.1,1
9606.ENSP00000216129,77.3,1
9606.ENSP00000216133,0.9,1
9606.ENSP00000216139,0,0
9606.ENSP00000216144,0,0
9606.ENSP00000216160,15.5,1
9606.ENSP00000216177,0,0
9606.ENSP00000216180,10.6,1
9606.ENSP00000216181,125.2,1
9606.ENSP00000216185,151.7,1
9606.ENSP00000216190,295.1,1
9606.ENSP00000216200,0,0
9606.ENSP00000216211,0,0
9606.ENSP00000216214,14.3,1
9606.ENSP00000216218,387.7,1
9606.ENSP00000216223,0,0
9606.ENSP00000216225,110.6,1
9606.ENSP00000216237,40.9,1
9606.ENSP00000216241,0,0
9606.ENSP00000216252,130.2,1
9606.ENSP00000216254,108.8,1
9606.ENSP00000216259,25.8,1
9606.ENSP00000216264,30.4,1
9606.ENSP00000216267,14.7,1
9606.ENSP00000216268,17.4,1
9606.ENSP00000216271,2.1,1
9606.ENSP00000216274,0,0
9606.ENSP00000216277,50.1,1
9606.ENSP00000216286,9.9,1
9606.ENSP00000216294,10.6,1
